USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           2  0.0  0.0      0     0 ?        S    09:31   0:00 [kthreadd]
root          41  0.1  0.0      0     0 ?        I    09:31   0:00  \_ [kworker/1:2-events]
root          42  0.0  0.0      0     0 ?        SN   09:31   0:00  \_ [khugepaged]
root          43  0.0  0.0      0     0 ?        I<   09:31   0:00  \_ [kworker/R-kinte]
root          44  0.0  0.0      0     0 ?        I<   09:31   0:00  \_ [kworker/R-kbloc]
root          45  0.0  0.0      0     0 ?        I<   09:31   0:00  \_ [kworker/R-blkcg]
root          46  0.0  0.0      0     0 ?        S    09:31   0:00  \_ [irq/9-acpi]
root          47  0.0  0.0      0     0 ?        I<   09:31   0:00  \_ [kworker/R-tpm_d]
root          48  0.0  0.0      0     0 ?        I<   09:31   0:00  \_ [kworker/R-ata_s]
root          49  0.0  0.0      0     0 ?        I<   09:31   0:00  \_ [kworker/R-md]
root          50  0.0  0.0      0     0 ?        I<   09:31   0:00  \_ [kworker/R-md_bi]
root          51  0.0  0.0      0     0 ?        I<   09:31   0:00  \_ [kworker/R-edac-]
root          52  0.0  0.0      0     0 ?        I<   09:31   0:00  \_ [kworker/R-devfr]
root          53  0.0  0.0      0     0 ?        S    09:31   0:00  \_ [watchdogd]
root          54  0.2  0.0      0     0 ?        I<   09:31   0:00  \_ [kworker/1:1H-kblockd]
root          55  0.0  0.0      0     0 ?        S    09:31   0:00  \_ [kswapd0]
root          56  0.0  0.0      0     0 ?        S    09:31   0:00  \_ [ecryptfs-kthread]
root          57  0.0  0.0      0     0 ?        I<   09:31   0:00  \_ [kworker/R-kthro]
root          58  0.0  0.0      0     0 ?        S    09:31   0:00  \_ [irq/24-pciehp]
root          59  0.0  0.0      0     0 ?        S    09:31   0:00  \_ [irq/25-pciehp]
root          60  0.0  0.0      0     0 ?        S    09:31   0:00  \_ [irq/26-pciehp]
root          61  0.0  0.0      0     0 ?        S    09:31   0:00  \_ [irq/27-pciehp]
root          62  0.0  0.0      0     0 ?        S    09:31   0:00  \_ [irq/28-pciehp]
root          63  0.0  0.0      0     0 ?        S    09:31   0:00  \_ [irq/29-pciehp]
root          64  0.0  0.0      0     0 ?        S    09:31   0:00  \_ [irq/30-pciehp]
root          65  0.0  0.0      0     0 ?        S    09:31   0:00  \_ [irq/31-pciehp]
root          66  0.0  0.0      0     0 ?        S    09:31   0:00  \_ [irq/32-pciehp]
root          67  0.0  0.0      0     0 ?        S    09:31   0:00  \_ [irq/33-pciehp]
root          68  0.0  0.0      0     0 ?        S    09:31   0:00  \_ [irq/34-pciehp]
root          69  0.0  0.0      0     0 ?        S    09:31   0:00  \_ [irq/35-pciehp]
root          70  0.0  0.0      0     0 ?        S    09:31   0:00  \_ [irq/36-pciehp]
root          71  0.0  0.0      0     0 ?        S    09:31   0:00  \_ [irq/37-pciehp]
root          72  0.0  0.0      0     0 ?        S    09:31   0:00  \_ [irq/38-pciehp]
root          73  0.0  0.0      0     0 ?        S    09:31   0:00  \_ [irq/39-pciehp]
root          74  0.0  0.0      0     0 ?        S    09:31   0:00  \_ [irq/40-pciehp]
root          75  0.0  0.0      0     0 ?        S    09:31   0:00  \_ [irq/41-pciehp]
root          76  0.0  0.0      0     0 ?        S    09:31   0:00  \_ [irq/42-pciehp]
root          77  0.0  0.0      0     0 ?        S    09:31   0:00  \_ [irq/43-pciehp]
root          78  0.0  0.0      0     0 ?        S    09:31   0:00  \_ [irq/44-pciehp]
root          79  0.0  0.0      0     0 ?        S    09:31   0:00  \_ [irq/45-pciehp]
root          80  0.0  0.0      0     0 ?        S    09:31   0:00  \_ [irq/46-pciehp]
root          81  0.0  0.0      0     0 ?        S    09:31   0:00  \_ [irq/47-pciehp]
root          82  0.0  0.0      0     0 ?        S    09:31   0:00  \_ [irq/48-pciehp]
root          83  0.0  0.0      0     0 ?        S    09:31   0:00  \_ [irq/49-pciehp]
root          84  0.0  0.0      0     0 ?        S    09:31   0:00  \_ [irq/50-pciehp]
root          85  0.0  0.0      0     0 ?        S    09:31   0:00  \_ [irq/51-pciehp]
root          86  0.0  0.0      0     0 ?        S    09:31   0:00  \_ [irq/52-pciehp]
root          87  0.0  0.0      0     0 ?        S    09:31   0:00  \_ [irq/53-pciehp]
root          88  0.0  0.0      0     0 ?        S    09:31   0:00  \_ [irq/54-pciehp]
root          89  0.0  0.0      0     0 ?        S    09:31   0:00  \_ [irq/55-pciehp]
root          90  0.0  0.0      0     0 ?        I<   09:31   0:00  \_ [kworker/R-acpi_]
root          92  0.1  0.0      0     0 ?        S    09:31   0:00  \_ [scsi_eh_0]
root          93  0.0  0.0      0     0 ?        I<   09:31   0:00  \_ [kworker/R-scsi_]
root          94  0.0  0.0      0     0 ?        S    09:31   0:00  \_ [scsi_eh_1]
root          95  0.0  0.0      0     0 ?        I<   09:31   0:00  \_ [kworker/R-scsi_]
root          99  0.0  0.0      0     0 ?        I<   09:31   0:00  \_ [kworker/R-mld]
root         100  0.0  0.0      0     0 ?        I<   09:31   0:00  \_ [kworker/R-ipv6_]
root         102  0.1  0.0      0     0 ?        I    09:31   0:00  \_ [kworker/u258:2-events_freezable_power_]
root         108  0.0  0.0      0     0 ?        I<   09:31   0:00  \_ [kworker/R-kstrp]
root         110  0.0  0.0      0     0 ?        I<   09:31   0:00  \_ [kworker/u259:0-hci0]
root         111  0.0  0.0      0     0 ?        I<   09:31   0:00  \_ [kworker/u260:0-ttm]
root         112  0.0  0.0      0     0 ?        I<   09:31   0:00  \_ [kworker/u261:0-ttm]
root         125  0.0  0.0      0     0 ?        I<   09:31   0:00  \_ [kworker/R-charg]
root         151  0.0  0.0      0     0 ?        I<   09:31   0:00  \_ [kworker/0:1H]
root         174  0.0  0.0      0     0 ?        I<   09:31   0:00  \_ [kworker/R-mpt_p]
root         175  0.0  0.0      0     0 ?        I<   09:31   0:00  \_ [kworker/R-mpt/0]
root         186  0.0  0.0      0     0 ?        S    09:31   0:00  \_ [scsi_eh_2]
root         187  0.0  0.0      0     0 ?        S    09:31   0:00  \_ [scsi_eh_3]
root         188  0.0  0.0      0     0 ?        I<   09:31   0:00  \_ [kworker/R-scsi_]
root         189  0.0  0.0      0     0 ?        I<   09:31   0:00  \_ [kworker/R-scsi_]
root         190  0.0  0.0      0     0 ?        S    09:31   0:00  \_ [scsi_eh_4]
root         191  0.0  0.0      0     0 ?        I<   09:31   0:00  \_ [kworker/R-scsi_]
root         192  0.0  0.0      0     0 ?        S    09:31   0:00  \_ [scsi_eh_5]
root         193  0.0  0.0      0     0 ?        I<   09:31   0:00  \_ [kworker/R-scsi_]
root         194  0.0  0.0      0     0 ?        S    09:31   0:00  \_ [scsi_eh_6]
root         195  0.0  0.0      0     0 ?        I<   09:31   0:00  \_ [kworker/R-scsi_]
root         196  0.0  0.0      0     0 ?        S    09:31   0:00  \_ [scsi_eh_7]
root         197  0.0  0.0      0     0 ?        I<   09:31   0:00  \_ [kworker/R-scsi_]
root         198  0.0  0.0      0     0 ?        S    09:31   0:00  \_ [scsi_eh_8]
root         199  0.0  0.0      0     0 ?        I<   09:31   0:00  \_ [kworker/R-scsi_]
root         200  0.0  0.0      0     0 ?        S    09:31   0:00  \_ [scsi_eh_9]
root         201  0.0  0.0      0     0 ?        I<   09:31   0:00  \_ [kworker/R-scsi_]
root         202  0.0  0.0      0     0 ?        S    09:31   0:00  \_ [scsi_eh_10]
root         203  0.0  0.0      0     0 ?        I<   09:31   0:00  \_ [kworker/R-scsi_]
root         204  0.0  0.0      0     0 ?        S    09:31   0:00  \_ [scsi_eh_11]
root         205  0.0  0.0      0     0 ?        I<   09:31   0:00  \_ [kworker/R-scsi_]
root         206  0.0  0.0      0     0 ?        S    09:31   0:00  \_ [scsi_eh_12]
root         207  0.0  0.0      0     0 ?        I<   09:31   0:00  \_ [kworker/R-scsi_]
root         208  0.0  0.0      0     0 ?        S    09:31   0:00  \_ [scsi_eh_13]
root         209  0.0  0.0      0     0 ?        I<   09:31   0:00  \_ [kworker/R-scsi_]
root         210  0.0  0.0      0     0 ?        S    09:31   0:00  \_ [scsi_eh_14]
root         211  0.0  0.0      0     0 ?        I<   09:31   0:00  \_ [kworker/R-scsi_]
root         212  0.0  0.0      0     0 ?        S    09:31   0:00  \_ [scsi_eh_15]
root         213  0.0  0.0      0     0 ?        I<   09:31   0:00  \_ [kworker/R-scsi_]
root         214  0.0  0.0      0     0 ?        S    09:31   0:00  \_ [scsi_eh_16]
root         215  0.0  0.0      0     0 ?        I<   09:31   0:00  \_ [kworker/R-scsi_]
root         216  0.0  0.0      0     0 ?        S    09:31   0:00  \_ [scsi_eh_17]
root         217  0.0  0.0      0     0 ?        I<   09:31   0:00  \_ [kworker/R-scsi_]
root         218  0.0  0.0      0     0 ?        S    09:31   0:00  \_ [scsi_eh_18]
root         219  0.0  0.0      0     0 ?        I<   09:31   0:00  \_ [kworker/R-scsi_]
root         220  0.0  0.0      0     0 ?        S    09:31   0:00  \_ [scsi_eh_19]
root         221  0.0  0.0      0     0 ?        I<   09:31   0:00  \_ [kworker/R-scsi_]
root         222  0.0  0.0      0     0 ?        S    09:31   0:00  \_ [scsi_eh_20]
root         223  0.0  0.0      0     0 ?        I<   09:31   0:00  \_ [kworker/R-scsi_]
root         224  0.0  0.0      0     0 ?        S    09:31   0:00  \_ [scsi_eh_21]
root         225  0.0  0.0      0     0 ?        I<   09:31   0:00  \_ [kworker/R-scsi_]
root         226  0.0  0.0      0     0 ?        S    09:31   0:00  \_ [scsi_eh_22]
root         227  0.0  0.0      0     0 ?        I<   09:31   0:00  \_ [kworker/R-scsi_]
root         228  0.0  0.0      0     0 ?        S    09:31   0:00  \_ [scsi_eh_23]
root         229  0.0  0.0      0     0 ?        I<   09:31   0:00  \_ [kworker/R-scsi_]
root         230  0.0  0.0      0     0 ?        S    09:31   0:00  \_ [scsi_eh_24]
root         231  0.0  0.0      0     0 ?        I<   09:31   0:00  \_ [kworker/R-scsi_]
root         232  0.0  0.0      0     0 ?        S    09:31   0:00  \_ [scsi_eh_25]
root         233  0.0  0.0      0     0 ?        I<   09:31   0:00  \_ [kworker/R-scsi_]
root         234  0.0  0.0      0     0 ?        S    09:31   0:00  \_ [scsi_eh_26]
root         235  0.0  0.0      0     0 ?        I<   09:31   0:00  \_ [kworker/R-scsi_]
root         236  0.0  0.0      0     0 ?        S    09:31   0:00  \_ [scsi_eh_27]
root         237  0.0  0.0      0     0 ?        I<   09:31   0:00  \_ [kworker/R-scsi_]
root         238  0.0  0.0      0     0 ?        S    09:31   0:00  \_ [scsi_eh_28]
root         239  0.0  0.0      0     0 ?        I<   09:31   0:00  \_ [kworker/R-scsi_]
root         240  0.0  0.0      0     0 ?        S    09:31   0:00  \_ [scsi_eh_29]
root         241  0.0  0.0      0     0 ?        I<   09:31   0:00  \_ [kworker/R-scsi_]
root         242  0.0  0.0      0     0 ?        S    09:31   0:00  \_ [scsi_eh_30]
root         243  0.0  0.0      0     0 ?        I<   09:31   0:00  \_ [kworker/R-scsi_]
root         244  0.0  0.0      0     0 ?        S    09:31   0:00  \_ [scsi_eh_31]
root         245  0.0  0.0      0     0 ?        I<   09:31   0:00  \_ [kworker/R-scsi_]
root         246  0.0  0.0      0     0 ?        S    09:31   0:00  \_ [scsi_eh_32]
root         247  0.0  0.0      0     0 ?        I<   09:31   0:00  \_ [kworker/R-scsi_]
root         268  0.0  0.0      0     0 ?        I    09:31   0:00  \_ [kworker/u257:26-events_power_efficient]
root         269  0.0  0.0      0     0 ?        I    09:31   0:00  \_ [kworker/u257:27-events_unbound]
root         270  0.0  0.0      0     0 ?        I    09:31   0:00  \_ [kworker/u257:28-flush-8:0]
root         271  0.2  0.0      0     0 ?        I    09:31   0:00  \_ [kworker/u257:29-writeback]
root         273  0.1  0.0      0     0 ?        I    09:31   0:00  \_ [kworker/u257:31-events_unbound]
root         314  0.0  0.0      0     0 ?        I<   09:32   0:00  \_ [kworker/1:2H]
root         317  0.2  0.0      0     0 ?        S    09:32   0:00  \_ [jbd2/sda2-8]
root         318  0.0  0.0      0     0 ?        I<   09:32   0:00  \_ [kworker/R-ext4-]
root         390  0.0  0.0      0     0 ?        I    09:32   0:00  \_ [kworker/0:3-rcu_par_gp]
root         400  0.0  0.0      0     0 ?        S    09:32   0:00  \_ [irq/16-vmwgfx]
root         401  0.0  0.0      0     0 ?        I<   09:32   0:00  \_ [kworker/R-ttm]
root         428  0.0  0.0      0     0 ?        I    09:32   0:00  \_ [kworker/u258:3-events_power_efficient]
root         471  0.0  0.0      0     0 ?        S    09:32   0:00  \_ [psimon]
root         498  0.0  0.0      0     0 ?        I    09:32   0:00  \_ [kworker/u256:1-ext4-rsv-conversion]
root         722  0.3  0.0      0     0 ?        I    09:32   0:01  \_ [kworker/u258:6-writeback]
root         771  0.0  0.0      0     0 ?        S    09:32   0:00  \_ [irq/57-vmw_vmci]
root         772  0.0  0.0      0     0 ?        S    09:32   0:00  \_ [irq/58-vmw_vmci]
root         773  0.0  0.0      0     0 ?        S    09:32   0:00  \_ [irq/59-vmw_vmci]
root        1575  0.0  0.0      0     0 ?        I<   09:33   0:00  \_ [kworker/u259:2-hci0]
root        1625  0.0  0.0      0     0 ?        I    09:33   0:00  \_ [kworker/1:3-mm_percpu_wq]
root        1647  0.0  0.0      0     0 ?        I<   09:33   0:00  \_ [kworker/R-crypt]
root        1979  0.0  0.0      0     0 ?        I<   09:33   0:00  \_ [kworker/u261:1-ttm]
root        1981  0.0  0.0      0     0 ?        I<   09:33   0:00  \_ [kworker/u260:1-ttm]
root        2517  0.0  0.0      0     0 ?        I<   09:33   0:00  \_ [kworker/0:2H]
root        2694  0.0  0.0      0     0 ?        I    09:33   0:00  \_ [kworker/u256:2]
root        3039  0.0  0.0      0     0 ?        I<   09:34   0:00  \_ [kworker/u261:2-ttm]
root        3701  0.0  0.0      0     0 ?        I<   09:34   0:00  \_ [kworker/u261:3-ttm]
root        3702  0.0  0.0      0     0 ?        I<   09:34   0:00  \_ [kworker/u261:4-ttm]
root        3703  0.0  0.0      0     0 ?        I<   09:34   0:00  \_ [kworker/u260:2-ttm]
root        3705  0.0  0.0      0     0 ?        I<   09:34   0:00  \_ [kworker/u261:5-ttm]
root        3706  0.0  0.0      0     0 ?        I<   09:34   0:00  \_ [kworker/u261:6-ttm]
root        3707  0.0  0.0      0     0 ?        I<   09:34   0:00  \_ [kworker/u261:7-ttm]
root        3708  0.0  0.0      0     0 ?        I<   09:34   0:00  \_ [kworker/u261:8-ttm]
root        3709  0.0  0.0      0     0 ?        I<   09:34   0:00  \_ [kworker/u261:9-ttm]
root        3710  0.0  0.0      0     0 ?        I<   09:34   0:00  \_ [kworker/u261:10-ttm]
root        3711  0.0  0.0      0     0 ?        I<   09:34   0:00  \_ [kworker/u261:11-ttm]
root        3712  0.0  0.0      0     0 ?        I<   09:34   0:00  \_ [kworker/u261:12-ttm]
root        3713  0.0  0.0      0     0 ?        I<   09:34   0:00  \_ [kworker/u261:13-ttm]
root        3714  0.0  0.0      0     0 ?        I<   09:34   0:00  \_ [kworker/u261:14-ttm]
root        3715  0.0  0.0      0     0 ?        I<   09:34   0:00  \_ [kworker/u261:15-ttm]
root        3716  0.0  0.0      0     0 ?        I<   09:34   0:00  \_ [kworker/u261:16]
root        4041  0.0  0.0      0     0 ?        S    09:34   0:00  \_ [psimon]
root        5715  0.1  0.0      0     0 ?        I    09:37   0:00  \_ [kworker/0:1-mm_percpu_wq]
root           1  4.5  0.3  23456 14460 ?        Ss   09:31   0:18 /sbin/init splash
root         368  0.5  0.4  50856 16760 ?        S<s  09:32   0:01 /usr/lib/systemd/systemd-journald
root         407  0.0  0.0 152476  1420 ?        Ssl  09:32   0:00 vmware-vmblock-fuse /run/vmblock-fuse -o rw,subtype=vmware-vmblock,default_permissions,allow_other,dev,suid
root         427  0.5  0.2  32132 10464 ?        Ss   09:32   0:01 /usr/lib/systemd/systemd-udevd
systemd+     653  0.1  0.1  17556  7680 ?        Ss   09:32   0:00 /usr/lib/systemd/systemd-oomd
systemd+     669  0.2  0.3  21700 13184 ?        Ss   09:32   0:00 /usr/lib/systemd/systemd-resolved
systemd+     674  0.0  0.1  91044  7808 ?        Ssl  09:32   0:00 /usr/lib/systemd/systemd-timesyncd
root         745  0.0  0.2  56064 11776 ?        Ss   09:32   0:00 /usr/bin/VGAuthService
root         757  0.9  0.2 318468  9472 ?        Ssl  09:32   0:03 /usr/bin/vmtoolsd
avahi       1047  0.0  0.1   8664  4480 ?        Ss   09:32   0:00 avahi-daemon: running [LuckyShot.local]
avahi       1208  0.0  0.0   8476  1312 ?        S    09:32   0:00  \_ avahi-daemon: chroot helper
message+    1051  0.7  0.1  12196  7296 ?        Ss   09:32   0:02 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
gnome-r+    1069  0.0  0.4 439072 16552 ?        Ssl  09:32   0:00 /usr/libexec/gnome-remote-desktop-daemon --system
polkitd     1082  0.6  0.3 390772 12088 ?        Ssl  09:32   0:01 /usr/lib/polkit-1/polkitd --no-debug
root        1092  0.0  0.1 313376  7424 ?        Ssl  09:32   0:00 /usr/libexec/power-profiles-daemon
root        1122 13.6  0.9 1469160 38656 ?       Ssl  09:32   0:44 /usr/lib/snapd/snapd
root        1132  0.1  0.1 313292  7860 ?        Ssl  09:32   0:00 /usr/libexec/accounts-daemon
root        1139  0.0  0.0   9424  2688 ?        Ss   09:32   0:00 /usr/sbin/cron -f -P
root        1156  0.1  0.1 309880  7040 ?        Ssl  09:32   0:00 /usr/libexec/switcheroo-control
root        1163  0.2  0.2  18140  8832 ?        Ss   09:32   0:00 /usr/lib/systemd/systemd-logind
root        1166  0.1  0.3 469472 14660 ?        Ssl  09:32   0:00 /usr/libexec/udisks2/udisksd
root        1210  0.2  0.4 336368 19156 ?        Ssl  09:32   0:00 /usr/sbin/NetworkManager --no-daemon
root        1216  0.0  0.1  17376  6272 ?        Ss   09:32   0:00 /usr/sbin/wpa_supplicant -u -s -O DIR=/run/wpa_supplicant GROUP=netdev
syslog      1219  0.1  0.1 222564  6016 ?        Ssl  09:32   0:00 /usr/sbin/rsyslogd -n -iNONE
root        1298  0.1  0.3 392092 12840 ?        Ssl  09:32   0:00 /usr/sbin/ModemManager
root        1522  0.0  0.3  38236 12032 ?        Ss   09:33   0:00 /usr/sbin/cupsd -l
root        1535  0.0  0.5 112248 23040 ?        Ssl  09:33   0:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
cups-br+    1562  0.0  0.5 268392 20096 ?        Ssl  09:33   0:00 /usr/sbin/cups-browsed
root        1568  0.0  0.1  12020  7808 ?        Ss   09:33   0:00 sshd: /usr/sbin/sshd -D [listener] 0 of 10-100 startups
kernoops    1580  0.0  0.0  12744  2184 ?        Ss   09:33   0:00 /usr/sbin/kerneloops --test
kernoops    1589  0.0  0.0  12744  2184 ?        Ss   09:33   0:00 /usr/sbin/kerneloops
root        1591  0.0  0.2 314820  9216 ?        Ssl  09:33   0:00 /usr/sbin/gdm3
root        2744  0.0  0.2 242588 10496 ?        Sl   09:33   0:00  \_ gdm-session-worker [pam/gdm-password]
adminis+    2832  0.0  0.1 235668  6144 tty2     Ssl+ 09:34   0:00      \_ /usr/libexec/gdm-wayland-session env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --session=ubuntu
adminis+    2841  0.0  0.4 298208 16640 tty2     Sl+  09:34   0:00          \_ /usr/libexec/gnome-session-binary --session=ubuntu
root        1697  0.0  0.1  13412  6400 ?        Ss   09:33   0:00 /usr/libexec/bluetooth/bluetoothd
rtkit       1738  0.0  0.0  22940  3328 ?        SNsl 09:33   0:00 /usr/libexec/rtkit-daemon
colord      1996  0.2  0.3 320184 14440 ?        Ssl  09:33   0:00 /usr/libexec/colord
root        2038  0.0  0.5 375164 20728 ?        Ssl  09:33   0:00 /usr/libexec/packagekitd
root        2039  0.1  0.2 316648  9216 ?        Ssl  09:33   0:00 /usr/libexec/upowerd
adminis+    2754  0.9  0.3  21196 12688 ?        Ss   09:34   0:02 /usr/lib/systemd/systemd --user
adminis+    2759  0.0  0.0  21456  3608 ?        S    09:34   0:00  \_ (sd-pam)
adminis+    2770  1.6  0.4 118480 16888 ?        S<sl 09:34   0:04  \_ /usr/bin/pipewire
adminis+    2771  0.0  0.1  97736  5888 ?        Ssl  09:34   0:00  \_ /usr/bin/pipewire -c filter-chain.conf
adminis+    2777  0.3  0.4 406756 18688 ?        S<sl 09:34   0:00  \_ /usr/bin/wireplumber
adminis+    2778  0.1  0.3 118752 15436 ?        S<sl 09:34   0:00  \_ /usr/bin/pipewire-pulse
adminis+    2780  0.1  0.2 316508  9984 ?        SLsl 09:34   0:00  \_ /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1000/keyring
adminis+    2790  0.7  0.1  10844  6528 ?        Ss   09:34   0:01  \_ /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
adminis+    2825  0.0  0.1 685056  7680 ?        Ssl  09:34   0:00  \_ /usr/libexec/xdg-document-portal
root        2887  0.0  0.0   2704  1920 ?        Ss   09:34   0:00  |   \_ fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
adminis+    2865  0.0  0.1 309308  6016 ?        Ssl  09:34   0:00  \_ /usr/libexec/xdg-permission-store
adminis+    2917  0.0  0.1 162652  6912 ?        Ssl  09:34   0:00  \_ /usr/libexec/gcr-ssh-agent --base-dir /run/user/1000/gcr
adminis+    2918  0.0  0.1  91548  5504 ?        Ssl  09:34   0:00  \_ /usr/libexec/gnome-session-ctl --monitor
adminis+    2926  0.0  0.2 314280  7936 ?        Ssl  09:34   0:00  \_ /usr/libexec/gvfsd
adminis+    3608  0.0  0.2 535712  8960 ?        Sl   09:34   0:00  |   \_ /usr/libexec/gvfsd-trash --spawner :1.19 /org/gtk/gvfs/exec_spaw/0
adminis+    5385  0.0  0.2 388232  8448 ?        Sl   09:36   0:00  |   \_ /usr/libexec/gvfsd-recent --spawner :1.19 /org/gtk/gvfs/exec_spaw/1
adminis+    2936  0.0  0.1 459712  7296 ?        Sl   09:34   0:00  \_ /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
adminis+    2947  0.2  0.4 733472 18304 ?        Ssl  09:34   0:00  \_ /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
adminis+    2995  0.0  0.1 382940  7680 ?        Sl   09:34   0:00  |   \_ /usr/libexec/at-spi-bus-launcher --launch-immediately
adminis+    3007  0.0  0.1   9476  5120 ?        S    09:34   0:00  |   |   \_ /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus
adminis+    3174  0.0  0.1 305624  7296 ?        Sl   09:34   0:00  |   \_ /usr/libexec/gsd-disk-utility-notify
adminis+    3184  0.3  2.7 982528 109568 ?       Sl   09:34   0:00  |   \_ /usr/libexec/evolution-data-server/evolution-alarm-notify
adminis+    4547  0.4  0.8 494944 31696 ?        Sl   09:35   0:00  |   \_ /usr/bin/update-notifier
adminis+    2993 12.6  6.6 3867536 262396 ?      Ssl  09:34   0:31  \_ /usr/bin/gnome-shell
adminis+    3537  0.2  2.1 255932 83968 ?        S    09:34   0:00  |   \_ /usr/bin/Xwayland :0 -rootless -noreset -accessx -core -auth /run/user/1000/.mutter-Xwaylandauth.UW0V12 -listenfd 4 -listenfd 5 -displayfd 6 -initfd 7 -byteswappedclients
adminis+    3813  0.2  2.1 720932 85844 ?        Sl   09:34   0:00  |   \_ /usr/libexec/mutter-x11-frames
adminis+    4241  1.5  1.7 3373896 67936 ?       Sl   09:34   0:03  |   \_ gjs /usr/share/gnome-shell/extensions/ding@rastersoft.com/app/ding.js -E -P /usr/share/gnome-shell/extensions/ding@rastersoft.com/app
adminis+    4347 26.3  9.9 3106152 393400 ?      Sl   09:35   0:48  |   \_ /snap/firefox/5701/usr/lib/firefox/firefox
adminis+    4615  0.2  1.2 217556 49024 ?        Sl   09:35   0:00  |       \_ /snap/firefox/5701/usr/lib/firefox/firefox -contentproc -parentBuildID 20250131183110 -prefsHandle 0 -prefsLen 30933 -prefMapHandle 1 -prefMapSize 261150 -sandboxReporter 2 -chrootClient 3 -ipcHandle 4 -initialChannelId {e0d56bef-20b4-46b3-ba73-8dbc155e8e6d} -parentPid 4347 -crashReporter 5 -appDir /snap/firefox/5701/usr/lib/firefox/browser 1 socket
