    PID USER     CGROUP
    244 root     -
    245 root     -
    246 root     -
    247 root     -
    268 root     -
    269 root     -
    270 root     -
    271 root     -
    273 root     -
    314 root     -
    317 root     -
    318 root     -
    368 root     0::/system.slice/systemd-journald.service
    390 root     -
    400 root     -
    401 root     -
    407 root     0::/system.slice/run-vmblock\x2dfuse.mount
    427 root     0::/system.slice/systemd-udevd.service/udev
    428 root     -
    471 root     -
    498 root     -
    653 systemd+ 0::/system.slice/systemd-oomd.service
    669 systemd+ 0::/system.slice/systemd-resolved.service
    674 systemd+ 0::/system.slice/systemd-timesyncd.service
    722 root     -
    745 root     0::/system.slice/vgauth.service
    757 root     0::/system.slice/open-vm-tools.service
    771 root     -
    772 root     -
    773 root     -
   1047 avahi    0::/system.slice/avahi-daemon.service
   1051 message+ 0::/system.slice/dbus.service
   1069 gnome-r+ 0::/system.slice/gnome-remote-desktop.service
   1082 polkitd  0::/system.slice/polkit.service
   1092 root     0::/system.slice/power-profiles-daemon.service
   1122 root     0::/system.slice/snapd.service
   1132 root     0::/system.slice/accounts-daemon.service
   1139 root     0::/system.slice/cron.service
   1156 root     0::/system.slice/switcheroo-control.service
   1163 root     0::/system.slice/systemd-logind.service
   1166 root     0::/system.slice/udisks2.service
   1208 avahi    0::/system.slice/avahi-daemon.service
   1210 root     0::/system.slice/NetworkManager.service
   1216 root     0::/system.slice/wpa_supplicant.service
   1219 syslog   0::/system.slice/rsyslog.service
   1298 root     0::/system.slice/ModemManager.service
   1522 root     0::/system.slice/cups.service
   1535 root     0::/system.slice/unattended-upgrades.service
   1562 cups-br+ 0::/system.slice/cups-browsed.service
   1568 root     0::/system.slice/ssh.service
   1575 root     -
   1580 kernoops 0::/system.slice/kerneloops.service
   1589 kernoops 0::/system.slice/kerneloops.service
   1591 root     0::/system.slice/gdm.service
   1625 root     -
   1647 root     -
   1697 root     0::/system.slice/bluetooth.service
   1738 rtkit    0::/system.slice/rtkit-daemon.service
   1979 root     -
   1981 root     -
   1996 colord   0::/system.slice/colord.service
   2038 root     0::/system.slice/packagekit.service
   2039 root     0::/system.slice/upower.service
   2517 root     -
   2694 root     -
   2744 root     0::/user.slice/user-1000.slice/session-2.scope
   2754 adminis+ 0::/user.slice/user-1000.slice/user@1000.service/init.scope
   2759 adminis+ 0::/user.slice/user-1000.slice/user@1000.service/init.scope
   2770 adminis+ 0::/user.slice/user-1000.slice/user@1000.service/session.slice/pipewire.service
   2771 adminis+ 0::/user.slice/user-1000.slice/user@1000.service/session.slice/filter-chain.service
   2777 adminis+ 0::/user.slice/user-1000.slice/user@1000.service/session.slice/wireplumber.service
   2778 adminis+ 0::/user.slice/user-1000.slice/user@1000.service/session.slice/pipewire-pulse.service
   2780 adminis+ 0::/user.slice/user-1000.slice/user@1000.service/app.slice/gnome-keyring-daemon.service
   2790 adminis+ 0::/user.slice/user-1000.slice/user@1000.service/session.slice/dbus.service
   2825 adminis+ 0::/user.slice/user-1000.slice/user@1000.service/session.slice/xdg-document-portal.service
   2832 adminis+ 0::/user.slice/user-1000.slice/session-2.scope
   2841 adminis+ 0::/user.slice/user-1000.slice/session-2.scope
   2865 adminis+ 0::/user.slice/user-1000.slice/user@1000.service/session.slice/xdg-permission-store.service
   2887 root     0::/user.slice/user-1000.slice/user@1000.service/session.slice/xdg-document-portal.service
   2917 adminis+ 0::/user.slice/user-1000.slice/user@1000.service/app.slice/gcr-ssh-agent.service
   2918 adminis+ 0::/user.slice/user-1000.slice/user@1000.service/app.slice/gnome-session-monitor.service
   2926 adminis+ 0::/user.slice/user-1000.slice/user@1000.service/session.slice/gvfs-daemon.service
   2936 adminis+ 0::/user.slice/user-1000.slice/user@1000.service/session.slice/gvfs-daemon.service
   2947 adminis+ 0::/user.slice/user-1000.slice/user@1000.service/app.slice/app-gnome\x2dsession\x2dmanager.slice/gnome-session-manager@ubuntu.service
   2993 adminis+ 0::/user.slice/user-1000.slice/user@1000.service/session.slice/org.gnome.Shell@wayland.service
   2995 adminis+ 0::/user.slice/user-1000.slice/user@1000.service/app.slice/app-gnome-at\x2dspi\x2ddbus\x2dbus-2995.scope
   3007 adminis+ 0::/user.slice/user-1000.slice/user@1000.service/app.slice/app-gnome-at\x2dspi\x2ddbus\x2dbus-2995.scope
   3039 root     -
   3064 adminis+ 0::/user.slice/user-1000.slice/user@1000.service/app.slice/app-gnome-at\x2dspi\x2ddbus\x2dbus-2995.scope
   3092 adminis+ 0::/user.slice/user-1000.slice/user@1000.service/session.slice/dbus.service
   3103 adminis+ 0::/user.slice/user-1000.slice/user@1000.service/app.slice/evolution-source-registry.service
   3111 adminis+ 0::/user.slice/user-1000.slice/user@1000.service/session.slice/dbus.service
   3114 adminis+ 0::/user.slice/user-1000.slice/user@1000.service/session.slice/org.freedesktop.IBus.session.GNOME.service
   3116 adminis+ 0::/user.slice/user-1000.slice/user@1000.service/session.slice/org.gnome.SettingsDaemon.A11ySettings.service
   3117 adminis+ 0::/user.slice/user-1000.slice/user@1000.service/session.slice/org.gnome.SettingsDaemon.Color.service
   3120 adminis+ 0::/user.slice/user-1000.slice/user@1000.service/session.slice/org.gnome.SettingsDaemon.Datetime.service
   3121 adminis+ 0::/user.slice/user-1000.slice/user@1000.service/session.slice/org.gnome.SettingsDaemon.Housekeeping.service
   3125 adminis+ 0::/user.slice/user-1000.slice/user@1000.service/session.slice/org.gnome.SettingsDaemon.Keyboard.service
   3128 adminis+ 0::/user.slice/user-1000.slice/user@1000.service/session.slice/org.gnome.SettingsDaemon.MediaKeys.service
   3130 adminis+ 0::/user.slice/user-1000.slice/user@1000.service/session.slice/org.gnome.SettingsDaemon.Power.service
   3131 adminis+ 0::/user.slice/user-1000.slice/user@1000.service/session.slice/org.gnome.SettingsDaemon.PrintNotifications.service
   3134 adminis+ 0::/user.slice/user-1000.slice/user@1000.service/session.slice/org.gnome.SettingsDaemon.Rfkill.service
   3135 adminis+ 0::/user.slice/user-1000.slice/user@1000.service/session.slice/org.gnome.SettingsDaemon.ScreensaverProxy.service
   3136 adminis+ 0::/user.slice/user-1000.slice/user@1000.service/session.slice/org.gnome.SettingsDaemon.Sharing.service
   3137 adminis+ 0::/user.slice/user-1000.slice/user@1000.service/session.slice/org.gnome.SettingsDaemon.Smartcard.service
   3138 adminis+ 0::/user.slice/user-1000.slice/user@1000.service/session.slice/org.gnome.SettingsDaemon.Sound.service
   3139 adminis+ 0::/user.slice/user-1000.slice/user@1000.service/session.slice/org.gnome.SettingsDaemon.Wacom.service
   3141 adminis+ 0::/user.slice/user-1000.slice/user@1000.service/app.slice/snap.snapd-desktop-integration.snapd-desktop-integration.service
   3170 adminis+ 0::/user.slice/user-1000.slice/user@1000.service/app.slice/app-gnome\x2dsession\x2dmanager.slice/gnome-session-manager@ubuntu.service
   3174 adminis+ 0::/user.slice/user-1000.slice/user@1000.service/app.slice/app-gnome-org.gnome.SettingsDaemon.DiskUtilityNotify-3174.scope
   3184 adminis+ 0::/user.slice/user-1000.slice/user@1000.service/app.slice/app-gnome-org.gnome.Evolution\x2dalarm\x2dnotify-3184.scope
   3279 adminis+ 0::/user.slice/user-1000.slice/user@1000.service/session.slice/gvfs-udisks2-volume-monitor.service
   3296 adminis+ 0::/user.slice/user-1000.slice/user@1000.service/session.slice/dbus.service
   3332 adminis+ 0::/user.slice/user-1000.slice/user@1000.service/session.slice/org.gnome.SettingsDaemon.PrintNotifications.service
   3421 adminis+ 0::/user.slice/user-1000.slice/user@1000.service/session.slice/org.freedesktop.IBus.session.GNOME.service
   3426 adminis+ 0::/user.slice/user-1000.slice/user@1000.service/session.slice/org.freedesktop.IBus.session.GNOME.service
   3432 adminis+ 0::/user.slice/user-1000.slice/user@1000.service/app.slice/evolution-calendar-factory.service
   3438 adminis+ 0::/user.slice/user-1000.slice/user@1000.service/session.slice/dbus.service
   3458 adminis+ 0::/user.slice/user-1000.slice/user@1000.service/session.slice/dbus.service
   3480 adminis+ 0::/user.slice/user-1000.slice/user@1000.service/session.slice/gvfs-gphoto2-volume-monitor.service
   3486 adminis+ 0::/user.slice/user-1000.slice/user@1000.service/app.slice/snap.snapd-desktop-integration.snapd-desktop-integration.service
   3500 adminis+ 0::/user.slice/user-1000.slice/user@1000.service/session.slice/gvfs-goa-volume-monitor.service
   3513 adminis+ 0::/user.slice/user-1000.slice/user@1000.service/session.slice/gvfs-mtp-volume-monitor.service
   3514 adminis+ 0::/user.slice/user-1000.slice/user@1000.service/app.slice/evolution-addressbook-factory.service
   3525 adminis+ 0::/user.slice/user-1000.slice/user@1000.service/session.slice/gvfs-afc-volume-monitor.service
   3537 adminis+ 0::/user.slice/user-1000.slice/user@1000.service/session.slice/org.gnome.Shell@wayland.service
   3566 adminis+ 0::/user.slice/user-1000.slice/user@1000.service/session.slice/org.freedesktop.IBus.session.GNOME.service
   3586 adminis+ 0::/user.slice/user-1000.slice/user@1000.service/app.slice/dconf.service
   3608 adminis+ 0::/user.slice/user-1000.slice/user@1000.service/session.slice/gvfs-daemon.service
   3609 adminis+ 0::/user.slice/user-1000.slice/user@1000.service/session.slice/gvfs-metadata.service
   3659 adminis+ 0::/user.slice/user-1000.slice/user@1000.service/background.slice/tracker-miner-fs-3.service
   3671 adminis+ 0::/user.slice/user-1000.slice/user@1000.service/session.slice/dbus.service
   3701 root     -
   3702 root     -
   3703 root     -
   3705 root     -
   3706 root     -
   3707 root     -
   3708 root     -
   3709 root     -
   3710 root     -
   3711 root     -
   3712 root     -
   3713 root     -
   3714 root     -
   3715 root     -
   3716 root     -
   3729 adminis+ 0::/user.slice/user-1000.slice/user@1000.service/session.slice/org.gnome.SettingsDaemon.XSettings.service
   3760 adminis+ 0::/user.slice/user-1000.slice/user@1000.service/session.slice/xdg-desktop-portal.service
   3767 adminis+ 0::/user.slice/user-1000.slice/user@1000.service/app.slice/xdg-desktop-portal-gnome.service
   3793 adminis+ 0::/user.slice/user-1000.slice/user@1000.service/session.slice/org.gnome.SettingsDaemon.XSettings.service
   3813 adminis+ 0::/user.slice/user-1000.slice/user@1000.service/session.slice/org.gnome.Shell@wayland.service
   3827 adminis+ 0::/user.slice/user-1000.slice/user@1000.service/app.slice/xdg-desktop-portal-gtk.service
   4041 root     -
   4241 adminis+ 0::/user.slice/user-1000.slice/user@1000.service/session.slice/org.gnome.Shell@wayland.service
   4347 adminis+ 0::/user.slice/user-1000.slice/user@1000.service/app.slice/snap.firefox.firefox-a6372b80-e334-4eaa-89fd-b6e0bc185fd6.scope
   4547 adminis+ 0::/user.slice/user-1000.slice/user@1000.service/app.slice/app-gnome-update\x2dnotifier-4547.scope
   4615 adminis+ 0::/user.slice/user-1000.slice/user@1000.service/app.slice/snap.firefox.firefox-a6372b80-e334-4eaa-89fd-b6e0bc185fd6.scope
   4632 adminis+ 0::/user.slice/user-1000.slice/user@1000.service/app.slice/snap.firefox.firefox-a6372b80-e334-4eaa-89fd-b6e0bc185fd6.scope
   4638 adminis+ 0::/user.slice/user-1000.slice/user@1000.service/app.slice/snap.firefox.firefox-a6372b80-e334-4eaa-89fd-b6e0bc185fd6.scope
   4669 adminis+ 0::/user.slice/user-1000.slice/user@1000.service/app.slice/snap.firefox.firefox-a6372b80-e334-4eaa-89fd-b6e0bc185fd6.scope
   4696 adminis+ 0::/user.slice/user-1000.slice/user@1000.service/app.slice/snap.firefox.firefox-a6372b80-e334-4eaa-89fd-b6e0bc185fd6.scope
   4725 adminis+ 0::/user.slice/user-1000.slice/user@1000.service/session.slice/dbus.service
   5220 adminis+ 0::/user.slice/user-1000.slice/user@1000.service/app.slice/snap.firefox.firefox-a6372b80-e334-4eaa-89fd-b6e0bc185fd6.scope
   5228 adminis+ 0::/user.slice/user-1000.slice/user@1000.service/app.slice/snap.firefox.firefox-a6372b80-e334-4eaa-89fd-b6e0bc185fd6.scope
   5235 adminis+ 0::/user.slice/user-1000.slice/user@1000.service/app.slice/snap.firefox.firefox-a6372b80-e334-4eaa-89fd-b6e0bc185fd6.scope
   5314 adminis+ 0::/user.slice/user-1000.slice/user@1000.service/app.slice/snap.firefox.firefox-a6372b80-e334-4eaa-89fd-b6e0bc185fd6.scope
   5361 adminis+ 0::/user.slice/user-1000.slice/user@1000.service/session.slice/dbus.service
   5385 adminis+ 0::/user.slice/user-1000.slice/user@1000.service/session.slice/gvfs-daemon.service
   5400 adminis+ 0::/user.slice/user-1000.slice/user@1000.service/app.slice/app-org.gnome.Terminal.slice/gnome-terminal-server.service
   5408 adminis+ 0::/user.slice/user-1000.slice/user@1000.service/app.slice/app-org.gnome.Terminal.slice/vte-spawn-6e4708f2-a2d7-4802-aa23-60b3fdbc6924.scope
   5715 root     -
   5908 root     0::/user.slice/user-1000.slice/user@1000.service/app.slice/app-org.gnome.Terminal.slice/vte-spawn-6e4708f2-a2d7-4802-aa23-60b3fdbc6924.scope
   5909 root     0::/user.slice/user-1000.slice/user@1000.service/app.slice/app-org.gnome.Terminal.slice/vte-spawn-6e4708f2-a2d7-4802-aa23-60b3fdbc6924.scope
   5910 root     0::/user.slice/user-1000.slice/user@1000.service/app.slice/app-org.gnome.Terminal.slice/vte-spawn-6e4708f2-a2d7-4802-aa23-60b3fdbc6924.scope
   6306 adminis+ 0::/user.slice/user-1000.slice/user@1000.service/background.slice/tracker-miner-fs-3.service
   6908 root     0::/user.slice/user-1000.slice/user@1000.service/app.slice/app-org.gnome.Terminal.slice/vte-spawn-6e4708f2-a2d7-4802-aa23-60b3fdbc6924.scope
   7197 root     0::/user.slice/user-1000.slice/user@1000.service/app.slice/app-org.gnome.Terminal.slice/vte-spawn-6e4708f2-a2d7-4802-aa23-60b3fdbc6924.scope
