    PID USER         ELAPSED COMMAND
   1562 cups-br+       05:15 /usr/sbin/cups-browsed
   1568 root           05:15 sshd: /usr/sbin/sshd -D [listener] 0 of 10-100 startups
   1575 root           05:14 [kworker/u259:2-hci0]
   1580 kernoops       05:14 /usr/sbin/kerneloops --test
   1589 kernoops       05:14 /usr/sbin/kerneloops
   1591 root           05:14 /usr/sbin/gdm3
   1625 root           05:13 [kworker/1:3-events]
   1647 root           05:12 [kworker/R-crypt]
   1697 root           05:11 /usr/libexec/bluetooth/bluetoothd
   1738 rtkit          05:11 /usr/libexec/rtkit-daemon
   1979 root           05:05 [kworker/u261:1-ttm]
   1981 root           05:04 [kworker/u260:1-ttm]
   1996 colord         05:03 /usr/libexec/colord
   2038 root           05:00 /usr/libexec/packagekitd
   2039 root           05:00 /usr/libexec/upowerd
   2517 root           04:41 [kworker/0:2H]
   2694 root           04:24 [kworker/u256:2]
   2744 root           04:19 gdm-session-worker [pam/gdm-password]
   2754 adminis+       04:15 /usr/lib/systemd/systemd --user
   2759 adminis+       04:15 (sd-pam)
   2770 adminis+       04:13 /usr/bin/pipewire
   2771 adminis+       04:13 /usr/bin/pipewire -c filter-chain.conf
   2777 adminis+       04:13 /usr/bin/wireplumber
   2778 adminis+       04:13 /usr/bin/pipewire-pulse
   2780 adminis+       04:13 /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1000/keyring
   2790 adminis+       04:12 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
   2825 adminis+       04:11 /usr/libexec/xdg-document-portal
   2832 adminis+       04:11 /usr/libexec/gdm-wayland-session env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --session=ubuntu
   2841 adminis+       04:11 /usr/libexec/gnome-session-binary --session=ubuntu
   2865 adminis+       04:11 /usr/libexec/xdg-permission-store
   2887 root           04:10 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
   2917 adminis+       04:09 /usr/libexec/gcr-ssh-agent --base-dir /run/user/1000/gcr
   2918 adminis+       04:09 /usr/libexec/gnome-session-ctl --monitor
   2926 adminis+       04:09 /usr/libexec/gvfsd
   2936 adminis+       04:09 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
   2947 adminis+       04:09 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
   2993 adminis+       04:08 /usr/bin/gnome-shell
   2995 adminis+       04:08 /usr/libexec/at-spi-bus-launcher --launch-immediately
   3007 adminis+       04:08 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus
   3039 root           04:06 [kworker/u261:2-ttm]
   3064 adminis+       04:05 /usr/libexec/at-spi2-registryd --use-gnome-session
   3092 adminis+       04:02 /usr/libexec/gnome-shell-calendar-server
   3103 adminis+       04:01 /usr/libexec/evolution-source-registry
   3111 adminis+       04:01 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.Shell.Notifications
   3114 adminis+       04:00 /usr/bin/ibus-daemon --panel disable
   3116 adminis+       04:00 /usr/libexec/gsd-a11y-settings
   3117 adminis+       04:00 /usr/libexec/gsd-color
   3120 adminis+       04:00 /usr/libexec/gsd-datetime
   3121 adminis+       04:00 /usr/libexec/gsd-housekeeping
   3125 adminis+       04:00 /usr/libexec/gsd-keyboard
   3128 adminis+       04:00 /usr/libexec/gsd-media-keys
   3130 adminis+       04:00 /usr/libexec/gsd-power
   3131 adminis+       04:00 /usr/libexec/gsd-print-notifications
   3134 adminis+       04:00 /usr/libexec/gsd-rfkill
   3135 adminis+       04:00 /usr/libexec/gsd-screensaver-proxy
   3136 adminis+       04:00 /usr/libexec/gsd-sharing
   3137 adminis+       04:00 /usr/libexec/gsd-smartcard
   3138 adminis+       04:00 /usr/libexec/gsd-sound
   3139 adminis+       04:00 /usr/libexec/gsd-wacom
   3141 adminis+       04:00 /snap/snapd-desktop-integration/253/usr/bin/snapd-desktop-integration
   3170 adminis+       03:59 /usr/bin/vmtoolsd -n vmusr --blockFd 3 --uinputFd 4
   3174 adminis+       03:59 /usr/libexec/gsd-disk-utility-notify
   3184 adminis+       03:59 /usr/libexec/evolution-data-server/evolution-alarm-notify
   3279 adminis+       03:58 /usr/libexec/gvfs-udisks2-volume-monitor
   3296 adminis+       03:57 /usr/libexec/goa-daemon
   3332 adminis+       03:57 /usr/libexec/gsd-printer
   3421 adminis+       03:56 /usr/libexec/ibus-memconf
   3426 adminis+       03:56 /usr/libexec/ibus-extension-gtk3
   3432 adminis+       03:56 /usr/libexec/evolution-calendar-factory
   3438 adminis+       03:55 /usr/libexec/ibus-portal
   3458 adminis+       03:55 /usr/libexec/goa-identity-service
   3480 adminis+       03:55 /usr/libexec/gvfs-gphoto2-volume-monitor
   3486 adminis+       03:55 /snap/snapd-desktop-integration/253/usr/bin/snapd-desktop-integration
   3500 adminis+       03:54 /usr/libexec/gvfs-goa-volume-monitor
   3513 adminis+       03:54 /usr/libexec/gvfs-mtp-volume-monitor
   3514 adminis+       03:54 /usr/libexec/evolution-addressbook-factory
   3525 adminis+       03:54 /usr/libexec/gvfs-afc-volume-monitor
   3537 adminis+       03:53 /usr/bin/Xwayland :0 -rootless -noreset -accessx -core -auth /run/user/1000/.mutter-Xwaylandauth.UW0V12 -listenfd 4 -listenfd 5 -displayfd 6 -initfd 7 -byteswappedclients
   3566 adminis+       03:52 /usr/libexec/ibus-engine-simple
   3586 adminis+       03:51 /usr/libexec/dconf-service
   3608 adminis+       03:50 /usr/libexec/gvfsd-trash --spawner :1.19 /org/gtk/gvfs/exec_spaw/0
   3609 adminis+       03:50 /usr/libexec/gvfsd-metadata
   3659 adminis+       03:45 /usr/libexec/tracker-miner-fs-3
   3671 adminis+       03:44 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.ScreenSaver
   3701 root           03:44 [kworker/u261:3-ttm]
   3702 root           03:44 [kworker/u261:4-ttm]
   3703 root           03:44 [kworker/u260:2-ttm]
   3705 root           03:44 [kworker/u261:5-ttm]
   3706 root           03:44 [kworker/u261:6-ttm]
   3707 root           03:44 [kworker/u261:7-ttm]
   3708 root           03:44 [kworker/u261:8-ttm]
   3709 root           03:44 [kworker/u261:9-ttm]
   3710 root           03:44 [kworker/u261:10-ttm]
   3711 root           03:44 [kworker/u261:11-ttm]
   3712 root           03:44 [kworker/u261:12-ttm]
   3713 root           03:44 [kworker/u261:13-ttm]
   3714 root           03:44 [kworker/u261:14-ttm]
   3715 root           03:44 [kworker/u261:15-ttm]
   3716 root           03:44 [kworker/u261:16]
   3729 adminis+       03:43 /usr/libexec/gsd-xsettings
   3760 adminis+       03:43 /usr/libexec/xdg-desktop-portal
   3767 adminis+       03:43 /usr/libexec/xdg-desktop-portal-gnome
   3793 adminis+       03:41 /usr/libexec/ibus-x11
   3813 adminis+       03:40 /usr/libexec/mutter-x11-frames
   3827 adminis+       03:39 /usr/libexec/xdg-desktop-portal-gtk
   4041 root           03:37 [psimon]
   4241 adminis+       03:20 gjs /usr/share/gnome-shell/extensions/ding@rastersoft.com/app/ding.js -E -P /usr/share/gnome-shell/extensions/ding@rastersoft.com/app
   4347 adminis+       03:03 /snap/firefox/5701/usr/lib/firefox/firefox
   4547 adminis+       02:58 /usr/bin/update-notifier
   4615 adminis+       02:53 /snap/firefox/5701/usr/lib/firefox/firefox -contentproc -parentBuildID 20250131183110 -prefsHandle 0 -prefsLen 30933 -prefMapHandle 1 -prefMapSize 261150 -sandboxReporter 2 -chrootClient 3 -ipcHandle 4 -initialChannelId {e0d56bef-20b4-46b3-ba73-8dbc155e8e6d} -parentPid 4347 -crashReporter 5 -appDir /snap/firefox/5701/usr/lib/firefox/browser 1 socket
   4632 adminis+       02:50 /snap/firefox/5701/usr/lib/firefox/firefox -contentproc -isForBrowser -prefsHandle 0 -prefsLen 30998 -prefMapHandle 1 -prefMapSize 261150 -jsInitHandle 2 -jsInitLen 253512 -parentBuildID 20250131183110 -sandboxReporter 3 -chrootClient 4 -ipcHandle 5 -initialChannelId {463ce4fb-9bb5-48b1-96f3-3bd82ff24157} -parentPid 4347 -crashReporter 6 -greomni /snap/firefox/5701/usr/lib/firefox/omni.ja -appomni /snap/firefox/5701/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/5701/usr/lib/firefox/browser 2 tab
   4638 adminis+       02:50 /snap/firefox/5701/usr/lib/firefox/firefox -contentproc -parentBuildID 20250131183110 -prefsHandle 0 -prefsLen 30998 -prefMapHandle 1 -prefMapSize 261150 -sandboxReporter 2 -chrootClient 3 -ipcHandle 4 -initialChannelId {52885d26-1199-41a2-a468-9a3da24708a6} -parentPid 4347 -crashReporter 5 -appDir /snap/firefox/5701/usr/lib/firefox/browser 3 rdd
   4669 adminis+       02:49 /snap/firefox/5701/usr/lib/firefox/firefox -contentproc -isForBrowser -prefsHandle 0 -prefsLen 31123 -prefMapHandle 1 -prefMapSize 261150 -jsInitHandle 2 -jsInitLen 253512 -parentBuildID 20250131183110 -sandboxReporter 3 -chrootClient 4 -ipcHandle 5 -initialChannelId {26b05271-803d-4c9e-abac-b2923ea64c69} -parentPid 4347 -crashReporter 6 -greomni /snap/firefox/5701/usr/lib/firefox/omni.ja -appomni /snap/firefox/5701/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/5701/usr/lib/firefox/browser 4 tab
   4696 adminis+       02:47 /snap/firefox/5701/usr/lib/firefox/firefox -contentproc -isForBrowser -prefsHandle 0 -prefsLen 28088 -prefMapHandle 1 -prefMapSize 261150 -jsInitHandle 2 -jsInitLen 253512 -parentBuildID 20250131183110 -sandboxReporter 3 -chrootClient 4 -ipcHandle 5 -initialChannelId {6aff854f-0b29-4780-9e15-371067f6152b} -parentPid 4347 -crashReporter 6 -greomni /snap/firefox/5701/usr/lib/firefox/omni.ja -appomni /snap/firefox/5701/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/5701/usr/lib/firefox/browser 5 tab
   4725 adminis+       02:46 /usr/bin/snap userd
   5220 adminis+       02:35 /snap/firefox/5701/usr/lib/firefox/firefox -contentproc -parentBuildID 20250131183110 -sandboxingKind 0 -prefsHandle 0 -prefsLen 40163 -prefMapHandle 1 -prefMapSize 261150 -sandboxReporter 2 -chrootClient 3 -ipcHandle 4 -initialChannelId {d4da33dc-8b8c-4fbd-b051-104363a328d7} -parentPid 4347 -crashReporter 5 -appDir /snap/firefox/5701/usr/lib/firefox/browser 6 utility
   5228 adminis+       02:34 /snap/firefox/5701/usr/lib/firefox/firefox -contentproc -isForBrowser -prefsHandle 0 -prefsLen 37028 -prefMapHandle 1 -prefMapSize 261150 -jsInitHandle 2 -jsInitLen 253512 -parentBuildID 20250131183110 -sandboxReporter 3 -chrootClient 4 -ipcHandle 5 -initialChannelId {343d6873-060a-4345-bc3a-8888d808d33e} -parentPid 4347 -crashReporter 6 -greomni /snap/firefox/5701/usr/lib/firefox/omni.ja -appomni /snap/firefox/5701/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/5701/usr/lib/firefox/browser 7 tab
   5235 adminis+       02:34 /snap/firefox/5701/usr/lib/firefox/firefox -contentproc -isForBrowser -prefsHandle 0 -prefsLen 37028 -prefMapHandle 1 -prefMapSize 261150 -jsInitHandle 2 -jsInitLen 253512 -parentBuildID 20250131183110 -sandboxReporter 3 -chrootClient 4 -ipcHandle 5 -initialChannelId {2f9c74ba-40c8-4687-9d76-5a9d1c0bcabb} -parentPid 4347 -crashReporter 6 -greomni /snap/firefox/5701/usr/lib/firefox/omni.ja -appomni /snap/firefox/5701/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/5701/usr/lib/firefox/browser 8 tab
   5314 adminis+       02:21 /snap/firefox/5701/usr/lib/firefox/firefox -contentproc -isForBrowser -prefsHandle 0 -prefsLen 37524 -prefMapHandle 1 -prefMapSize 261150 -jsInitHandle 2 -jsInitLen 253512 -parentBuildID 20250131183110 -sandboxReporter 3 -chrootClient 4 -ipcHandle 5 -initialChannelId {e27f92b1-ad1d-4eda-9209-fa25aa9b8076} -parentPid 4347 -crashReporter 6 -greomni /snap/firefox/5701/usr/lib/firefox/omni.ja -appomni /snap/firefox/5701/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/5701/usr/lib/firefox/browser 9 tab
   5361 adminis+       02:01 /usr/bin/nautilus --gapplication-service
   5385 adminis+       01:57 /usr/libexec/gvfsd-recent --spawner :1.19 /org/gtk/gvfs/exec_spaw/1
   5400 adminis+       01:39 /usr/libexec/gnome-terminal-server
   5408 adminis+       01:38 bash
   5715 root           00:19 [kworker/0:1-events]
   5908 root           00:11 sudo ./uac -p ir_triage /home/administrator/Desktop/
   5909 root           00:08 sudo ./uac -p ir_triage /home/administrator/Desktop/
   5910 root           00:08 /bin/sh ./uac -p ir_triage /home/administrator/Desktop/
   6306 adminis+       00:06 /usr/libexec/tracker-extract-3 --socket-fd 3
   6908 root           00:01 /bin/sh ./uac -p ir_triage /home/administrator/Desktop/
   7134 root           00:00 ps -axo pid,user,etime,args
