F S UID          PID    PPID  C PRI  NI ADDR SZ WCHAN  STIME TTY          TIME CMD
1 S root          32       2  0  80   0 -     0 kaudit 09:31 ?        00:00:00 [kauditd]
1 I root          33       2  0  80   0 -     0 worker 09:31 ?        00:00:01 [kworker/0:2-events]
1 S root          34       2  0  80   0 -     0 watchd 09:31 ?        00:00:00 [khungtaskd]
1 S root          35       2  0  80   0 -     0 oom_re 09:31 ?        00:00:00 [oom_reaper]
1 I root          36       2  0  80   0 -     0 worker 09:31 ?        00:00:00 [kworker/u258:1-flush-8:0]
1 I root          37       2  0  60 -20 -     0 rescue 09:31 ?        00:00:00 [kworker/R-write]
1 S root          38       2  0  80   0 -     0 kcompa 09:31 ?        00:00:00 [kcompactd0]
1 S root          39       2  0  85   5 -     0 ksm_sc 09:31 ?        00:00:00 [ksmd]
1 I root          41       2  0  80   0 -     0 worker 09:31 ?        00:00:00 [kworker/1:2-events]
1 S root          42       2  0  99  19 -     0 khugep 09:31 ?        00:00:00 [khugepaged]
1 I root          43       2  0  60 -20 -     0 rescue 09:31 ?        00:00:00 [kworker/R-kinte]
1 I root          44       2  0  60 -20 -     0 rescue 09:31 ?        00:00:00 [kworker/R-kbloc]
1 I root          45       2  0  60 -20 -     0 rescue 09:31 ?        00:00:00 [kworker/R-blkcg]
1 S root          46       2  0   9   - -     0 irq_th 09:31 ?        00:00:00 [irq/9-acpi]
1 I root          47       2  0  60 -20 -     0 rescue 09:31 ?        00:00:00 [kworker/R-tpm_d]
1 I root          48       2  0  60 -20 -     0 rescue 09:31 ?        00:00:00 [kworker/R-ata_s]
1 I root          49       2  0  60 -20 -     0 rescue 09:31 ?        00:00:00 [kworker/R-md]
1 I root          50       2  0  60 -20 -     0 rescue 09:31 ?        00:00:00 [kworker/R-md_bi]
1 I root          51       2  0  60 -20 -     0 rescue 09:31 ?        00:00:00 [kworker/R-edac-]
1 I root          52       2  0  60 -20 -     0 rescue 09:31 ?        00:00:00 [kworker/R-devfr]
1 S root          53       2  0   9   - -     0 kthrea 09:31 ?        00:00:00 [watchdogd]
1 I root          54       2  0  60 -20 -     0 worker 09:31 ?        00:00:00 [kworker/1:1H-kblockd]
1 S root          55       2  0  80   0 -     0 kswapd 09:31 ?        00:00:00 [kswapd0]
1 S root          56       2  0  80   0 -     0 ecrypt 09:31 ?        00:00:00 [ecryptfs-kthread]
1 I root          57       2  0  60 -20 -     0 rescue 09:31 ?        00:00:00 [kworker/R-kthro]
1 S root          58       2  0   9   - -     0 irq_th 09:31 ?        00:00:00 [irq/24-pciehp]
1 S root          59       2  0   9   - -     0 irq_th 09:31 ?        00:00:00 [irq/25-pciehp]
1 S root          60       2  0   9   - -     0 irq_th 09:31 ?        00:00:00 [irq/26-pciehp]
1 S root          61       2  0   9   - -     0 irq_th 09:31 ?        00:00:00 [irq/27-pciehp]
1 S root          62       2  0   9   - -     0 irq_th 09:31 ?        00:00:00 [irq/28-pciehp]
1 S root          63       2  0   9   - -     0 irq_th 09:31 ?        00:00:00 [irq/29-pciehp]
1 S root          64       2  0   9   - -     0 irq_th 09:31 ?        00:00:00 [irq/30-pciehp]
1 S root          65       2  0   9   - -     0 irq_th 09:31 ?        00:00:00 [irq/31-pciehp]
1 S root          66       2  0   9   - -     0 irq_th 09:31 ?        00:00:00 [irq/32-pciehp]
1 S root          67       2  0   9   - -     0 irq_th 09:31 ?        00:00:00 [irq/33-pciehp]
1 S root          68       2  0   9   - -     0 irq_th 09:31 ?        00:00:00 [irq/34-pciehp]
1 S root          69       2  0   9   - -     0 irq_th 09:31 ?        00:00:00 [irq/35-pciehp]
1 S root          70       2  0   9   - -     0 irq_th 09:31 ?        00:00:00 [irq/36-pciehp]
1 S root          71       2  0   9   - -     0 irq_th 09:31 ?        00:00:00 [irq/37-pciehp]
1 S root          72       2  0   9   - -     0 irq_th 09:31 ?        00:00:00 [irq/38-pciehp]
1 S root          73       2  0   9   - -     0 irq_th 09:31 ?        00:00:00 [irq/39-pciehp]
1 S root          74       2  0   9   - -     0 irq_th 09:31 ?        00:00:00 [irq/40-pciehp]
1 S root          75       2  0   9   - -     0 irq_th 09:31 ?        00:00:00 [irq/41-pciehp]
1 S root          76       2  0   9   - -     0 irq_th 09:31 ?        00:00:00 [irq/42-pciehp]
1 S root          77       2  0   9   - -     0 irq_th 09:31 ?        00:00:00 [irq/43-pciehp]
1 S root          78       2  0   9   - -     0 irq_th 09:31 ?        00:00:00 [irq/44-pciehp]
1 S root          79       2  0   9   - -     0 irq_th 09:31 ?        00:00:00 [irq/45-pciehp]
1 S root          80       2  0   9   - -     0 irq_th 09:31 ?        00:00:00 [irq/46-pciehp]
1 S root          81       2  0   9   - -     0 irq_th 09:31 ?        00:00:00 [irq/47-pciehp]
1 S root          82       2  0   9   - -     0 irq_th 09:31 ?        00:00:00 [irq/48-pciehp]
1 S root          83       2  0   9   - -     0 irq_th 09:31 ?        00:00:00 [irq/49-pciehp]
1 S root          84       2  0   9   - -     0 irq_th 09:31 ?        00:00:00 [irq/50-pciehp]
1 S root          85       2  0   9   - -     0 irq_th 09:31 ?        00:00:00 [irq/51-pciehp]
1 S root          86       2  0   9   - -     0 irq_th 09:31 ?        00:00:00 [irq/52-pciehp]
1 S root          87       2  0   9   - -     0 irq_th 09:31 ?        00:00:00 [irq/53-pciehp]
1 S root          88       2  0   9   - -     0 irq_th 09:31 ?        00:00:00 [irq/54-pciehp]
1 S root          89       2  0   9   - -     0 irq_th 09:31 ?        00:00:00 [irq/55-pciehp]
1 I root          90       2  0  60 -20 -     0 rescue 09:31 ?        00:00:00 [kworker/R-acpi_]
1 S root          92       2  0  80   0 -     0 scsi_e 09:31 ?        00:00:00 [scsi_eh_0]
1 I root          93       2  0  60 -20 -     0 rescue 09:31 ?        00:00:00 [kworker/R-scsi_]
1 S root          94       2  0  80   0 -     0 scsi_e 09:31 ?        00:00:00 [scsi_eh_1]
1 I root          95       2  0  60 -20 -     0 rescue 09:31 ?        00:00:00 [kworker/R-scsi_]
1 I root          99       2  0  60 -20 -     0 rescue 09:31 ?        00:00:00 [kworker/R-mld]
1 I root         100       2  0  60 -20 -     0 rescue 09:31 ?        00:00:00 [kworker/R-ipv6_]
1 I root         102       2  0  80   0 -     0 worker 09:31 ?        00:00:00 [kworker/u258:2-events_freezable_power_]
1 I root         108       2  0  60 -20 -     0 rescue 09:31 ?        00:00:00 [kworker/R-kstrp]
1 I root         110       2  0  60 -20 -     0 worker 09:31 ?        00:00:00 [kworker/u259:0-hci0]
1 I root         111       2  0  60 -20 -     0 worker 09:31 ?        00:00:00 [kworker/u260:0-ttm]
1 I root         112       2  0  60 -20 -     0 worker 09:31 ?        00:00:00 [kworker/u261:0-ttm]
1 I root         125       2  0  60 -20 -     0 rescue 09:31 ?        00:00:00 [kworker/R-charg]
1 I root         151       2  0  60 -20 -     0 worker 09:31 ?        00:00:00 [kworker/0:1H]
1 I root         174       2  0  60 -20 -     0 rescue 09:31 ?        00:00:00 [kworker/R-mpt_p]
1 I root         175       2  0  60 -20 -     0 rescue 09:31 ?        00:00:00 [kworker/R-mpt/0]
1 S root         186       2  0  80   0 -     0 scsi_e 09:31 ?        00:00:00 [scsi_eh_2]
1 S root         187       2  0  80   0 -     0 scsi_e 09:31 ?        00:00:00 [scsi_eh_3]
1 I root         188       2  0  60 -20 -     0 rescue 09:31 ?        00:00:00 [kworker/R-scsi_]
1 I root         189       2  0  60 -20 -     0 rescue 09:31 ?        00:00:00 [kworker/R-scsi_]
1 S root         190       2  0  80   0 -     0 scsi_e 09:31 ?        00:00:00 [scsi_eh_4]
1 I root         191       2  0  60 -20 -     0 rescue 09:31 ?        00:00:00 [kworker/R-scsi_]
1 S root         192       2  0  80   0 -     0 scsi_e 09:31 ?        00:00:00 [scsi_eh_5]
1 I root         193       2  0  60 -20 -     0 rescue 09:31 ?        00:00:00 [kworker/R-scsi_]
1 S root         194       2  0  80   0 -     0 scsi_e 09:31 ?        00:00:00 [scsi_eh_6]
1 I root         195       2  0  60 -20 -     0 rescue 09:31 ?        00:00:00 [kworker/R-scsi_]
1 S root         196       2  0  80   0 -     0 scsi_e 09:31 ?        00:00:00 [scsi_eh_7]
1 I root         197       2  0  60 -20 -     0 rescue 09:31 ?        00:00:00 [kworker/R-scsi_]
1 S root         198       2  0  80   0 -     0 scsi_e 09:31 ?        00:00:00 [scsi_eh_8]
1 I root         199       2  0  60 -20 -     0 rescue 09:31 ?        00:00:00 [kworker/R-scsi_]
1 S root         200       2  0  80   0 -     0 scsi_e 09:31 ?        00:00:00 [scsi_eh_9]
1 I root         201       2  0  60 -20 -     0 rescue 09:31 ?        00:00:00 [kworker/R-scsi_]
1 S root         202       2  0  80   0 -     0 scsi_e 09:31 ?        00:00:00 [scsi_eh_10]
1 I root         203       2  0  60 -20 -     0 rescue 09:31 ?        00:00:00 [kworker/R-scsi_]
1 S root         204       2  0  80   0 -     0 scsi_e 09:31 ?        00:00:00 [scsi_eh_11]
1 I root         205       2  0  60 -20 -     0 rescue 09:31 ?        00:00:00 [kworker/R-scsi_]
1 S root         206       2  0  80   0 -     0 scsi_e 09:31 ?        00:00:00 [scsi_eh_12]
1 I root         207       2  0  60 -20 -     0 rescue 09:31 ?        00:00:00 [kworker/R-scsi_]
1 S root         208       2  0  80   0 -     0 scsi_e 09:31 ?        00:00:00 [scsi_eh_13]
1 I root         209       2  0  60 -20 -     0 rescue 09:31 ?        00:00:00 [kworker/R-scsi_]
1 S root         210       2  0  80   0 -     0 scsi_e 09:31 ?        00:00:00 [scsi_eh_14]
1 I root         211       2  0  60 -20 -     0 rescue 09:31 ?        00:00:00 [kworker/R-scsi_]
1 S root         212       2  0  80   0 -     0 scsi_e 09:31 ?        00:00:00 [scsi_eh_15]
1 I root         213       2  0  60 -20 -     0 rescue 09:31 ?        00:00:00 [kworker/R-scsi_]
1 S root         214       2  0  80   0 -     0 scsi_e 09:31 ?        00:00:00 [scsi_eh_16]
1 I root         215       2  0  60 -20 -     0 rescue 09:31 ?        00:00:00 [kworker/R-scsi_]
1 S root         216       2  0  80   0 -     0 scsi_e 09:31 ?        00:00:00 [scsi_eh_17]
1 I root         217       2  0  60 -20 -     0 rescue 09:31 ?        00:00:00 [kworker/R-scsi_]
1 S root         218       2  0  80   0 -     0 scsi_e 09:31 ?        00:00:00 [scsi_eh_18]
1 I root         219       2  0  60 -20 -     0 rescue 09:31 ?        00:00:00 [kworker/R-scsi_]
1 S root         220       2  0  80   0 -     0 scsi_e 09:31 ?        00:00:00 [scsi_eh_19]
1 I root         221       2  0  60 -20 -     0 rescue 09:31 ?        00:00:00 [kworker/R-scsi_]
1 S root         222       2  0  80   0 -     0 scsi_e 09:31 ?        00:00:00 [scsi_eh_20]
1 I root         223       2  0  60 -20 -     0 rescue 09:31 ?        00:00:00 [kworker/R-scsi_]
1 S root         224       2  0  80   0 -     0 scsi_e 09:31 ?        00:00:00 [scsi_eh_21]
1 I root         225       2  0  60 -20 -     0 rescue 09:31 ?        00:00:00 [kworker/R-scsi_]
1 S root         226       2  0  80   0 -     0 scsi_e 09:31 ?        00:00:00 [scsi_eh_22]
1 I root         227       2  0  60 -20 -     0 rescue 09:31 ?        00:00:00 [kworker/R-scsi_]
1 S root         228       2  0  80   0 -     0 scsi_e 09:31 ?        00:00:00 [scsi_eh_23]
1 I root         229       2  0  60 -20 -     0 rescue 09:31 ?        00:00:00 [kworker/R-scsi_]
1 S root         230       2  0  80   0 -     0 scsi_e 09:31 ?        00:00:00 [scsi_eh_24]
1 I root         231       2  0  60 -20 -     0 rescue 09:31 ?        00:00:00 [kworker/R-scsi_]
1 S root         232       2  0  80   0 -     0 scsi_e 09:31 ?        00:00:00 [scsi_eh_25]
1 I root         233       2  0  60 -20 -     0 rescue 09:31 ?        00:00:00 [kworker/R-scsi_]
1 S root         234       2  0  80   0 -     0 scsi_e 09:31 ?        00:00:00 [scsi_eh_26]
1 I root         235       2  0  60 -20 -     0 rescue 09:31 ?        00:00:00 [kworker/R-scsi_]
1 S root         236       2  0  80   0 -     0 scsi_e 09:31 ?        00:00:00 [scsi_eh_27]
1 I root         237       2  0  60 -20 -     0 rescue 09:31 ?        00:00:00 [kworker/R-scsi_]
1 S root         238       2  0  80   0 -     0 scsi_e 09:31 ?        00:00:00 [scsi_eh_28]
1 I root         239       2  0  60 -20 -     0 rescue 09:31 ?        00:00:00 [kworker/R-scsi_]
1 S root         240       2  0  80   0 -     0 scsi_e 09:31 ?        00:00:00 [scsi_eh_29]
1 I root         241       2  0  60 -20 -     0 rescue 09:31 ?        00:00:00 [kworker/R-scsi_]
1 S root         242       2  0  80   0 -     0 scsi_e 09:31 ?        00:00:00 [scsi_eh_30]
1 I root         243       2  0  60 -20 -     0 rescue 09:31 ?        00:00:00 [kworker/R-scsi_]
1 S root         244       2  0  80   0 -     0 scsi_e 09:31 ?        00:00:00 [scsi_eh_31]
1 I root         245       2  0  60 -20 -     0 rescue 09:31 ?        00:00:00 [kworker/R-scsi_]
1 S root         246       2  0  80   0 -     0 scsi_e 09:31 ?        00:00:00 [scsi_eh_32]
1 I root         247       2  0  60 -20 -     0 rescue 09:31 ?        00:00:00 [kworker/R-scsi_]
1 I root         268       2  0  80   0 -     0 worker 09:31 ?        00:00:00 [kworker/u257:26-events_power_efficient]
1 I root         269       2  0  80   0 -     0 worker 09:31 ?        00:00:00 [kworker/u257:27-events_unbound]
1 I root         270       2  0  80   0 -     0 worker 09:31 ?        00:00:00 [kworker/u257:28-flush-8:0]
1 I root         271       2  0  80   0 -     0 worker 09:31 ?        00:00:00 [kworker/u257:29-writeback]
1 I root         273       2  0  80   0 -     0 worker 09:31 ?        00:00:00 [kworker/u257:31-events_power_efficient]
1 I root         314       2  0  60 -20 -     0 worker 09:32 ?        00:00:00 [kworker/1:2H]
1 S root         317       2  0  80   0 -     0 kjourn 09:32 ?        00:00:00 [jbd2/sda2-8]
1 I root         318       2  0  60 -20 -     0 rescue 09:32 ?        00:00:00 [kworker/R-ext4-]
4 S root         368       1  0  79  -1 - 12714 ep_pol 09:32 ?        00:00:01 /usr/lib/systemd/systemd-journald
1 I root         390       2  0  80   0 -     0 worker 09:32 ?        00:00:00 [kworker/0:3-rcu_par_gp]
1 S root         400       2  0   9   - -     0 irq_th 09:32 ?        00:00:00 [irq/16-vmwgfx]
1 I root         401       2  0  60 -20 -     0 rescue 09:32 ?        00:00:00 [kworker/R-ttm]
1 S root         407       1  0  80   0 - 38119 futex_ 09:32 ?        00:00:00 vmware-vmblock-fuse /run/vmblock-fuse -o rw,subtype=vmware-vmblock,default_permissions,allow_other,dev,suid
4 S root         427       1  0  80   0 -  8033 ep_pol 09:32 ?        00:00:01 /usr/lib/systemd/systemd-udevd
1 I root         428       2  0  80   0 -     0 worker 09:32 ?        00:00:00 [kworker/u258:3-events_power_efficient]
1 S root         471       2  0  58   - -     0 psi_rt 09:32 ?        00:00:00 [psimon]
1 I root         498       2  0  80   0 -     0 worker 09:32 ?        00:00:00 [kworker/u256:1-ext4-rsv-conversion]
4 S systemd+     653       1  0  80   0 -  4389 ep_pol 09:32 ?        00:00:00 /usr/lib/systemd/systemd-oomd
4 S systemd+     669       1  0  80   0 -  5425 ep_pol 09:32 ?        00:00:00 /usr/lib/systemd/systemd-resolved
4 S systemd+     674       1  0  80   0 - 22761 ep_pol 09:32 ?        00:00:00 /usr/lib/systemd/systemd-timesyncd
1 I root         722       2  0  80   0 -     0 worker 09:32 ?        00:00:01 [kworker/u258:6-events_unbound]
4 S root         745       1  0  80   0 - 14016 do_pol 09:32 ?        00:00:00 /usr/bin/VGAuthService
4 S root         757       1  0  80   0 - 79617 do_pol 09:32 ?        00:00:03 /usr/bin/vmtoolsd
1 S root         771       2  0   9   - -     0 irq_th 09:32 ?        00:00:00 [irq/57-vmw_vmci]
1 S root         772       2  0   9   - -     0 irq_th 09:32 ?        00:00:00 [irq/58-vmw_vmci]
1 S root         773       2  0   9   - -     0 irq_th 09:32 ?        00:00:00 [irq/59-vmw_vmci]
4 S avahi       1047       1  0  80   0 -  2166 do_pol 09:32 ?        00:00:00 avahi-daemon: running [LuckyShot.local]
4 S message+    1051       1  0  80   0 -  3049 ep_pol 09:32 ?        00:00:02 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
4 S gnome-r+    1069       1  0  80   0 - 109768 do_pol 09:32 ?       00:00:00 /usr/libexec/gnome-remote-desktop-daemon --system
4 S polkitd     1082       1  0  80   0 - 97693 do_pol 09:32 ?        00:00:01 /usr/lib/polkit-1/polkitd --no-debug
4 S root        1092       1  0  80   0 - 78344 do_pol 09:32 ?        00:00:00 /usr/libexec/power-profiles-daemon
4 S root        1122       1 13  80   0 - 367290 futex_ 09:32 ?       00:00:44 /usr/lib/snapd/snapd
4 S root        1132       1  0  80   0 - 78323 do_pol 09:32 ?        00:00:00 /usr/libexec/accounts-daemon
4 S root        1139       1  0  80   0 -  2356 hrtime 09:32 ?        00:00:00 /usr/sbin/cron -f -P
4 S root        1156       1  0  80   0 - 77470 do_pol 09:32 ?        00:00:00 /usr/libexec/switcheroo-control
4 S root        1163       1  0  80   0 -  4535 ep_pol 09:32 ?        00:00:00 /usr/lib/systemd/systemd-logind
4 S root        1166       1  0  80   0 - 117368 do_pol 09:32 ?       00:00:00 /usr/libexec/udisks2/udisksd
1 S avahi       1208    1047  0  80   0 -  2119 unix_s 09:32 ?        00:00:00 avahi-daemon: chroot helper
4 S root        1210       1  0  80   0 - 84092 do_pol 09:32 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
4 S root        1216       1  0  80   0 -  4344 do_sel 09:32 ?        00:00:00 /usr/sbin/wpa_supplicant -u -s -O DIR=/run/wpa_supplicant GROUP=netdev
4 S syslog      1219       1  0  80   0 - 55641 do_sel 09:32 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
4 S root        1298       1  0  80   0 - 98023 do_pol 09:32 ?        00:00:00 /usr/sbin/ModemManager
4 S root        1522       1  0  80   0 -  9559 ep_pol 09:33 ?        00:00:00 /usr/sbin/cupsd -l
4 S root        1535       1  0  80   0 - 28062 do_pol 09:33 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
4 S cups-br+    1562       1  0  80   0 - 67098 do_pol 09:33 ?        00:00:00 /usr/sbin/cups-browsed
4 S root        1568       1  0  80   0 -  3005 do_pol 09:33 ?        00:00:00 sshd: /usr/sbin/sshd -D [listener] 0 of 10-100 startups
1 I root        1575       2  0  60 -20 -     0 worker 09:33 ?        00:00:00 [kworker/u259:2-hci0]
1 S kernoops    1580       1  0  80   0 -  3186 do_pol 09:33 ?        00:00:00 /usr/sbin/kerneloops --test
1 S kernoops    1589       1  0  80   0 -  3186 do_pol 09:33 ?        00:00:00 /usr/sbin/kerneloops
4 S root        1591       1  0  80   0 - 78705 do_pol 09:33 ?        00:00:00 /usr/sbin/gdm3
1 I root        1625       2  0  80   0 -     0 worker 09:33 ?        00:00:00 [kworker/1:3-events]
1 I root        1647       2  0  60 -20 -     0 rescue 09:33 ?        00:00:00 [kworker/R-crypt]
4 S root        1697       1  0  80   0 -  3353 do_pol 09:33 ?        00:00:00 /usr/libexec/bluetooth/bluetoothd
4 S rtkit       1738       1  0  81   1 -  5735 do_pol 09:33 ?        00:00:00 /usr/libexec/rtkit-daemon
1 I root        1979       2  0  60 -20 -     0 worker 09:33 ?        00:00:00 [kworker/u261:1-ttm]
1 I root        1981       2  0  60 -20 -     0 worker 09:33 ?        00:00:00 [kworker/u260:1-ttm]
4 S colord      1996       1  0  80   0 - 80046 do_pol 09:33 ?        00:00:00 /usr/libexec/colord
4 S root        2038       1  0  80   0 - 93791 do_pol 09:33 ?        00:00:00 /usr/libexec/packagekitd
4 S root        2039       1  0  80   0 - 79162 do_pol 09:33 ?        00:00:00 /usr/libexec/upowerd
1 I root        2517       2  0  60 -20 -     0 worker 09:33 ?        00:00:00 [kworker/0:2H]
1 I root        2694       2  0  80   0 -     0 worker 09:33 ?        00:00:00 [kworker/u256:2]
4 S root        2744    1591  0  80   0 - 60647 do_pol 09:33 ?        00:00:00 gdm-session-worker [pam/gdm-password]
4 S adminis+    2754       1  0  80   0 -  5299 ep_pol 09:34 ?        00:00:02 /usr/lib/systemd/systemd --user
5 S adminis+    2759    2754  0  80   0 -  5364 do_sig 09:34 ?        00:00:00 (sd-pam)
0 S adminis+    2770    2754  1  69 -11 - 29620 ep_pol 09:34 ?        00:00:04 /usr/bin/pipewire
0 S adminis+    2771    2754  0  80   0 - 24434 ep_pol 09:34 ?        00:00:00 /usr/bin/pipewire -c filter-chain.conf
0 S adminis+    2777    2754  0  69 -11 - 101689 do_pol 09:34 ?       00:00:00 /usr/bin/wireplumber
0 S adminis+    2778    2754  0  69 -11 - 29688 ep_pol 09:34 ?        00:00:00 /usr/bin/pipewire-pulse
0 S adminis+    2780    2754  0  80   0 - 79127 do_pol 09:34 ?        00:00:00 /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1000/keyring
0 S adminis+    2790    2754  0  80   0 -  2711 ep_pol 09:34 ?        00:00:01 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
0 S adminis+    2825    2754  0  80   0 - 171264 do_pol 09:34 ?       00:00:00 /usr/libexec/xdg-document-portal
4 S adminis+    2832    2744  0  80   0 - 58917 do_pol 09:34 tty2     00:00:00 /usr/libexec/gdm-wayland-session env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --session=ubuntu
0 S adminis+    2841    2832  0  80   0 - 74552 do_pol 09:34 tty2     00:00:00 /usr/libexec/gnome-session-binary --session=ubuntu
0 S adminis+    2865    2754  0  80   0 - 77327 do_pol 09:34 ?        00:00:00 /usr/libexec/xdg-permission-store
4 S root        2887    2825  0  80   0 -   676 unix_s 09:34 ?        00:00:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
0 S adminis+    2917    2754  0  80   0 - 40663 do_pol 09:34 ?        00:00:00 /usr/libexec/gcr-ssh-agent --base-dir /run/user/1000/gcr
0 S adminis+    2918    2754  0  80   0 - 22887 do_pol 09:34 ?        00:00:00 /usr/libexec/gnome-session-ctl --monitor
0 S adminis+    2926    2754  0  80   0 - 78570 do_pol 09:34 ?        00:00:00 /usr/libexec/gvfsd
0 S adminis+    2936    2754  0  80   0 - 114928 futex_ 09:34 ?       00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
0 S adminis+    2947    2754  0  80   0 - 183368 do_pol 09:34 ?       00:00:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
0 S adminis+    2993    2754 12  80   0 - 966884 do_pol 09:34 ?       00:00:31 /usr/bin/gnome-shell
0 S adminis+    2995    2947  0  80   0 - 95735 do_pol 09:34 ?        00:00:00 /usr/libexec/at-spi-bus-launcher --launch-immediately
0 S adminis+    3007    2995  0  80   0 -  2369 ep_pol 09:34 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus
1 I root        3039       2  0  60 -20 -     0 worker 09:34 ?        00:00:00 [kworker/u261:2-ttm]
0 S adminis+    3064    2754  0  80   0 - 59017 do_pol 09:34 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
0 S adminis+    3092    2754  0  80   0 - 163960 do_pol 09:34 ?       00:00:00 /usr/libexec/gnome-shell-calendar-server
0 S adminis+    3103    2754  0  80   0 - 187868 do_pol 09:34 ?       00:00:00 /usr/libexec/evolution-source-registry
0 S adminis+    3111    2754  0  80   0 - 634934 do_pol 09:34 ?       00:00:00 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.Shell.Notifications
0 S adminis+    3114    2754  0  80   0 - 97168 do_pol 09:34 ?        00:00:01 /usr/bin/ibus-daemon --panel disable
0 S adminis+    3116    2754  0  80   0 - 95880 do_pol 09:34 ?        00:00:00 /usr/libexec/gsd-a11y-settings
0 S adminis+    3117    2754  0  80   0 - 103241 do_pol 09:34 ?       00:00:00 /usr/libexec/gsd-color
0 S adminis+    3120    2754  0  80   0 - 107917 do_pol 09:34 ?       00:00:00 /usr/libexec/gsd-datetime
0 S adminis+    3121    2754  0  80   0 - 114718 do_pol 09:34 ?       00:00:00 /usr/libexec/gsd-housekeeping
0 S adminis+    3125    2754  0  80   0 - 102941 do_pol 09:34 ?       00:00:00 /usr/libexec/gsd-keyboard
0 S adminis+    3128    2754  0  80   0 - 185403 do_pol 09:34 ?       00:00:00 /usr/libexec/gsd-media-keys
0 S adminis+    3130    2754  0  80   0 - 130883 do_pol 09:34 ?       00:00:00 /usr/libexec/gsd-power
