top - 09:38:26 up 6 min,  1 user,  load average: 1.09, 2.14, 1.24
Tasks: 338 total,   1 running, 337 sleeping,   0 stopped,   0 zombie
%Cpu(s):  7.4 us, 29.6 sy, 14.8 ni, 40.7 id,  7.4 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   3868.2 total,    133.0 free,   1820.2 used,   2237.7 buff/cache     
MiB Swap:   3868.0 total,   3868.0 free,      0.0 used.   2048.0 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
     25 root      20   0       0      0      0 I   0.0   0.0   0:00.13 kworker+
     28 root      20   0       0      0      0 I   0.0   0.0   0:01.52 kworker+
     29 root      20   0       0      0      0 S   0.0   0.0   0:00.13 kdevtmp+
     30 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     31 root      20   0       0      0      0 I   0.0   0.0   0:05.95 kworker+
     32 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kauditd
     33 root      20   0       0      0      0 I   0.0   0.0   0:01.86 kworker+
     34 root      20   0       0      0      0 S   0.0   0.0   0:00.00 khungta+
     35 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_rea+
     36 root      20   0       0      0      0 I   0.0   0.0   0:00.08 kworker+
     37 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     38 root      20   0       0      0      0 S   0.0   0.0   0:00.03 kcompac+
     39 root      25   5       0      0      0 S   0.0   0.0   0:00.00 ksmd
     41 root      20   0       0      0      0 I   0.0   0.0   0:00.66 kworker+
     42 root      39  19       0      0      0 S   0.0   0.0   0:00.00 khugepa+
     43 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     44 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     45 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     46 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/9-a+
     47 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     48 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     49 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     50 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     51 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     52 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     53 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 watchdo+
     54 root       0 -20       0      0      0 I   0.0   0.0   0:00.98 kworker+
     55 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kswapd0
     56 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ecryptf+
     57 root       0 -20       0      0      0 I   0.0   0.0   0:00.03 kworker+
     58 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/24-+
     59 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/25-+
     60 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/26-+
     61 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/27-+
     62 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/28-+
     63 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/29-+
     64 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/30-+
     65 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/31-+
     66 root     -51   0       0      0      0 S   0.0   0.0   0:00.03 irq/32-+
     67 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/33-+
     68 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/34-+
     69 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/35-+
     70 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/36-+
     71 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/37-+
     72 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/38-+
     73 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/39-+
     74 root     -51   0       0      0      0 S   0.0   0.0   0:00.03 irq/40-+
     75 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/41-+
     76 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/42-+
     77 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/43-+
     78 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/44-+
     79 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/45-+
     80 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/46-+
     81 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/47-+
     82 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/48-+
     83 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/49-+
     84 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/50-+
     85 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/51-+
     86 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/52-+
     87 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/53-+
     88 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/54-+
     89 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/55-+
     90 root       0 -20       0      0      0 I   0.0   0.0   0:00.03 kworker+
     92 root      20   0       0      0      0 S   0.0   0.0   0:00.75 scsi_eh+
     93 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     94 root      20   0       0      0      0 S   0.0   0.0   0:00.25 scsi_eh+
     95 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     99 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    100 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    102 root      20   0       0      0      0 I   0.0   0.0   0:00.69 kworker+
    108 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    110 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    111 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    112 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    125 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    151 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    174 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    175 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    186 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    187 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    188 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    189 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    190 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    191 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    192 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    193 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    194 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    195 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    196 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    197 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    198 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    199 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    200 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    201 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    202 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    203 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    204 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    205 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    206 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    207 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    208 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    209 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    210 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    211 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    212 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    213 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    214 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    215 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    216 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    217 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    218 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    219 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    220 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    221 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    222 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    223 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    224 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    225 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    226 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    227 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    228 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    229 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    230 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    231 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    232 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    233 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    234 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    235 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    236 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    237 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    238 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    239 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    240 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    241 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    242 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    243 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    244 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    245 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    246 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    247 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    268 root      20   0       0      0      0 I   0.0   0.0   0:00.14 kworker+
    269 root      20   0       0      0      0 I   0.0   0.0   0:00.33 kworker+
    270 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
    271 root      20   0       0      0      0 I   0.0   0.0   0:00.90 kworker+
    273 root      20   0       0      0      0 I   0.0   0.0   0:00.38 kworker+
    314 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    317 root      20   0       0      0      0 S   0.0   0.0   0:01.02 jbd2/sd+
    318 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    368 root      19  -1   50856  16760  15352 S   0.0   0.4   0:01.82 systemd+
    390 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
    400 root     -51   0       0      0      0 S   0.0   0.0   0:00.22 irq/16-+
    401 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    407 root      20   0  152476   1420   1152 S   0.0   0.0   0:00.00 vmware-+
    427 root      20   0   32132  10464   5088 S   0.0   0.3   0:01.75 systemd+
    428 root      20   0       0      0      0 I   0.0   0.0   0:00.05 kworker+
    471 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
    498 root      20   0       0      0      0 I   0.0   0.0   0:00.33 kworker+
    653 systemd+  20   0   17556   7680   6784 S   0.0   0.2   0:00.57 systemd+
    669 systemd+  20   0   21700  13184  10880 S   0.0   0.3   0:00.70 systemd+
    674 systemd+  20   0   91044   7808   6912 S   0.0   0.2   0:00.23 systemd+
    722 root      20   0       0      0      0 I   0.0   0.0   0:01.29 kworker+
    745 root      20   0   56064  11776  10368 S   0.0   0.3   0:00.15 VGAuthS+
    757 root      20   0  318468   9472   7936 S   0.0   0.2   0:03.04 vmtoolsd
    771 root     -51   0       0      0      0 S   0.0   0.0   0:00.03 irq/57-+
    772 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/58-+
    773 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/59-+
   1047 avahi     20   0    8664   4480   4096 S   0.0   0.1   0:00.24 avahi-d+
   1051 message+  20   0   12196   7296   4608 S   0.0   0.2   0:02.43 dbus-da+
   1069 gnome-r+  20   0  439072  16552  14120 S   0.0   0.4   0:00.29 gnome-r+
   1082 polkitd   20   0  390772  12088   8184 S   0.0   0.3   0:01.98 polkitd
   1092 root      20   0  313376   7424   6784 S   0.0   0.2   0:00.21 power-p+
   1122 root      20   0 1469160  38656  22272 S   0.0   1.0   0:44.90 snapd
   1132 root      20   0  313292   7860   7092 S   0.0   0.2   0:00.44 account+
   1139 root      20   0    9424   2688   2560 S   0.0   0.1   0:00.06 cron
   1156 root      20   0  309880   7040   6400 S   0.0   0.2   0:00.49 switche+
   1163 root      20   0   18140   8832   7936 S   0.0   0.2   0:00.73 systemd+
   1166 root      20   0  469472  14660  11844 S   0.0   0.4   0:00.64 udisksd
   1208 avahi     20   0    8476   1312   1024 S   0.0   0.0   0:00.00 avahi-d+
   1210 root      20   0  336368  19156  16340 S   0.0   0.5   0:00.66 Network+
   1216 root      20   0   17376   6272   5504 S   0.0   0.2   0:00.12 wpa_sup+
   1219 syslog    20   0  222564   6016   4608 S   0.0   0.2   0:00.43 rsyslogd
   1298 root      20   0  392092  12840  10792 S   0.0   0.3   0:00.42 ModemMa+
   1522 root      20   0   38236  12032   9984 S   0.0   0.3   0:00.11 cupsd
   1535 root      20   0  112248  23040  13696 S   0.0   0.6   0:00.30 unatten+
   1562 cups-br+  20   0  268392  20096  17152 S   0.0   0.5   0:00.23 cups-br+
   1568 root      20   0   12020   7808   6784 S   0.0   0.2   0:00.04 sshd
   1575 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   1580 kernoops  20   0   12744   2184   1792 S   0.0   0.1   0:00.00 kernelo+
   1589 kernoops  20   0   12744   2184   1792 S   0.0   0.1   0:00.00 kernelo+
   1591 root      20   0  314820   9216   8192 S   0.0   0.2   0:00.17 gdm3
   1625 root      20   0       0      0      0 I   0.0   0.0   0:00.14 kworker+
   1647 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   1697 root      20   0   13412   6400   6016 S   0.0   0.2   0:00.20 bluetoo+
   1738 rtkit     21   1   22940   3328   3072 S   0.0   0.1   0:00.19 rtkit-d+
   1979 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   1981 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   1996 colord    20   0  320184  14440   9960 S   0.0   0.4   0:00.66 colord
   2038 root      20   0  375164  20728  17912 S   0.0   0.5   0:00.16 package+
   2039 root      20   0  316648   9216   7680 S   0.0   0.2   0:00.31 upowerd
   2517 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   2694 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
   2744 root      20   0  242588  10496   9088 S   0.0   0.3   0:00.13 gdm-ses+
   2754 adminis+  20   0   21196  12688   9728 S   0.0   0.3   0:02.45 systemd
   2759 adminis+  20   0   21456   3608   1792 S   0.0   0.1   0:00.00 (sd-pam)
   2770 adminis+   9 -11  118480  16888   9024 S   0.0   0.4   0:04.12 pipewire
   2771 adminis+  20   0   97736   5888   5248 S   0.0   0.1   0:00.09 pipewire
   2777 adminis+   9 -11  406756  18688  13824 S   0.0   0.5   0:00.83 wireplu+
   2778 adminis+   9 -11  118752  15436   9676 S   0.0   0.4   0:00.40 pipewir+
   2780 adminis+  20   0  316508   9984   9088 S   0.0   0.3   0:00.29 gnome-k+
   2790 adminis+  20   0   10844   6528   4608 S   0.0   0.2   0:01.85 dbus-da+
   2825 adminis+  20   0  685056   7680   7040 S   0.0   0.2   0:00.19 xdg-doc+
   2832 adminis+  20   0  235668   6144   5760 S   0.0   0.2   0:00.04 gdm-way+
   2841 adminis+  20   0  298208  16640  14720 S   0.0   0.4   0:00.17 gnome-s+
   2865 adminis+  20   0  309308   6016   5632 S   0.0   0.2   0:00.06 xdg-per+
   2887 root      20   0    2704   1920   1920 S   0.0   0.0   0:00.00 fusermo+
   2917 adminis+  20   0  162652   6912   6272 S   0.0   0.2   0:00.04 gcr-ssh+
   2918 adminis+  20   0   91548   5504   5248 S   0.0   0.1   0:00.06 gnome-s+
   2926 adminis+  20   0  314280   7936   7168 S   0.0   0.2   0:00.19 gvfsd
   2936 adminis+  20   0  459712   7296   6528 S   0.0   0.2   0:00.03 gvfsd-f+
   2947 adminis+  20   0  733472  18304  15744 S   0.0   0.5   0:00.50 gnome-s+
   2993 adminis+  20   0 3867536 262396 142676 S   0.0   6.6   0:31.53 gnome-s+
   2995 adminis+  20   0  382940   7680   7040 S   0.0   0.2   0:00.05 at-spi-+
   3007 adminis+  20   0    9476   5120   4608 S   0.0   0.1   0:00.09 dbus-da+
   3039 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   3064 adminis+  20   0  236068   7552   6912 S   0.0   0.2   0:00.05 at-spi2+
   3092 adminis+  20   0  655840  22308  18560 S   0.0   0.6   0:00.31 gnome-s+
   3103 adminis+  20   0  751472  88576  73088 S   0.0   2.2   0:00.88 evoluti+
   3111 adminis+  20   0 2539736  26892  22144 S   0.0   0.7   0:00.28 gjs
   3114 adminis+  20   0  388672  12108   6912 S   0.0   0.3   0:01.15 ibus-da+
   3116 adminis+  20   0  383520   6656   6144 S   0.0   0.2   0:00.06 gsd-a11+
   3117 adminis+  20   0  412964  20612  17668 S   0.0   0.5   0:00.26 gsd-col+
   3120 adminis+  20   0  431668  12160  10880 S   0.0   0.3   0:00.09 gsd-dat+
   3121 adminis+  20   0  458872   7936   7168 S   0.0   0.2   0:00.13 gsd-hou+
   3125 adminis+  20   0  411764  19804  16988 S   0.0   0.5   0:00.27 gsd-key+
   3128 adminis+  20   0  741612  25792  22080 S   0.0   0.7   0:00.37 gsd-med+
   3130 adminis+  20   0  523532  24560  20720 S   0.0   0.6   0:00.35 gsd-pow+
   3131 adminis+  20   0  323644  11392  10112 S   0.0   0.3   0:00.09 gsd-pri+
   3134 adminis+  20   0  531084   6656   6144 S   0.0   0.2   0:00.07 gsd-rfk+
   3135 adminis+  20   0  309560   6016   5632 S   0.0   0.2   0:00.06 gsd-scr+
   3136 adminis+  20   0  543196  11520   9984 S   0.0   0.3   0:00.10 gsd-sha+
   3137 adminis+  20   0  385820   8192   7424 S   0.0   0.2   0:00.07 gsd-sma+
   3138 adminis+  20   0  393640   9856   8832 S   0.0   0.2   0:00.08 gsd-sou+
   3139 adminis+  20   0  486472  20984  17528 S   0.0   0.5   0:00.31 gsd-wac+
   3141 adminis+  20   0   39128  12032  10624 S   0.0   0.3   0:00.43 snapd-d+
   3170 adminis+  20   0  214240  37240  29432 S   0.0   0.9   0:02.18 vmtoolsd
   3174 adminis+  20   0  305624   7296   6144 S   0.0   0.2   0:00.06 gsd-dis+
   3184 adminis+  20   0  982528 109568  88320 S   0.0   2.8   0:00.93 evoluti+
   3279 adminis+  20   0  463056  10880   9216 S   0.0   0.3   0:00.54 gvfs-ud+
   3296 adminis+  20   0  546652  24320  20736 S   0.0   0.6   0:00.14 goa-dae+
   3332 adminis+  20   0  416204  14976  13184 S   0.0   0.4   0:00.07 gsd-pri+
   3421 adminis+  20   0  236648   6912   6400 S   0.0   0.2   0:00.02 ibus-me+
   3426 adminis+  20   0  421468  29516  18364 S   0.0   0.7   0:09.21 ibus-ex+
   3432 adminis+  20   0  964452  24576  21248 S   0.0   0.6   0:00.34 evoluti+
   3438 adminis+  20   0  310428   7168   6656 S   0.0   0.2   0:00.09 ibus-po+
   3458 adminis+  20   0  462860   9344   8320 S   0.0   0.2   0:00.07 goa-ide+
   3480 adminis+  20   0  310760   6912   6272 S   0.0   0.2   0:00.10 gvfs-gp+
   3486 adminis+  20   0  429604  30484  21888 S   0.0   0.8   0:00.56 snapd-d+
   3500 adminis+  20   0  309772   6400   5888 S   0.0   0.2   0:00.07 gvfs-go+
   3513 adminis+  20   0  309792   6528   6016 S   0.0   0.2   0:00.07 gvfs-mt+
   3514 adminis+  20   0  751564  30080  26240 S   0.0   0.8   0:00.31 evoluti+
   3525 adminis+  20   0  389376   7936   7040 S   0.0   0.2   0:00.12 gvfs-af+
   3537 adminis+  20   0  255932  83968  59520 S   0.0   2.1   0:00.57 Xwayland
   3566 adminis+  20   0  236772   7424   6784 S   0.0   0.2   0:00.32 ibus-en+
   3586 adminis+  20   0  230216   5888   5376 S   0.0   0.1   0:00.07 dconf-s+
   3608 adminis+  20   0  535712   8960   7808 S   0.0   0.2   0:00.14 gvfsd-t+
   3609 adminis+  20   0  236340   6656   6144 S   0.0   0.2   0:00.06 gvfsd-m+
   3671 adminis+  20   0 2531536  27028  22144 S   0.0   0.7   0:00.21 gjs
   3701 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   3702 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   3703 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   3705 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   3706 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   3707 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   3708 root       0 -20       0      0      0 I   0.0   0.0   0:00.01 kworker+
   3709 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   3710 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   3711 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   3712 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   3713 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   3714 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   3715 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   3716 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   3729 adminis+  20   0  640452  79380  63680 S   0.0   2.0   0:00.53 gsd-xse+
   3760 adminis+  20   0  832692  14164  11536 S   0.0   0.4   0:00.30 xdg-des+
   3767 adminis+  20   0  872320  87316  69908 S   0.0   2.2   0:00.65 xdg-des+
   3793 adminis+  20   0  267112  24708  18016 S   0.0   0.6   0:00.30 ibus-x11
   3813 adminis+  20   0  720932  85844  68052 S   0.0   2.2   0:00.44 mutter-+
   3827 adminis+  20   0  417760  25980  19324 S   0.0   0.7   0:00.32 xdg-des+
   4041 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
   4241 adminis+  20   0 3373896  67936  50992 S   0.0   1.7   0:03.10 gjs
   4347 adminis+  20   0 3106152 393400 170056 S   0.0   9.9   0:48.03 firefox
   4547 adminis+  20   0  494944  31696  24272 S   0.0   0.8   0:00.76 update-+
   4615 adminis+  20   0  217556  49024  40320 S   0.0   1.2   0:00.38 Socket +
   4632 adminis+  20   0 2439412  97268  75568 S   0.0   2.5   0:02.27 WebExte+
   4638 adminis+  20   0  350200  56192  45440 S   0.0   1.4   0:00.86 RDD Pro+
   4669 adminis+  20   0 2461184 126588  90440 S   0.0   3.2   0:03.70 Privile+
   4696 adminis+  20   0 2486168 158640  93896 S   0.0   4.0   0:06.91 Isolate+
   4725 adminis+  20   0 1237944  19968  13952 S   0.0   0.5   0:00.19 snap
   5220 adminis+  20   0  216192  46848  38144 S   0.0   1.2   0:00.21 Utility+
   5228 adminis+  20   0 2403416  76452  63224 S   0.0   1.9   0:00.55 Web Con+
   5235 adminis+  20   0 2403420  75952  62836 S   0.0   1.9   0:00.63 Web Con+
   5314 adminis+  20   0 2404084  76628  63360 S   0.0   1.9   0:00.36 Web Con+
   5361 adminis+  20   0 1444296 170892 104096 S   0.0   4.3   0:05.43 nautilus
   5385 adminis+  20   0  388232   8448   7552 S   0.0   0.2   0:00.06 gvfsd-r+
   5400 adminis+  20   0  623816  55204  43932 S   0.0   1.4   0:02.93 gnome-t+
   5408 adminis+  20   0   11748   5888   3840 S   0.0   0.1   0:00.55 bash
   5715 root      20   0       0      0      0 I   0.0   0.0   0:00.08 kworker+
   5908 root      20   0   19812   7552   6272 S   0.0   0.2   0:00.06 sudo
   5909 root      20   0   19812   2608   1280 S   0.0   0.1   0:00.00 sudo
   5910 root      20   0    3296   2432   1792 S   0.0   0.1   0:00.12 uac
