USER         PID    PPID    VSZ   RSS TTY      STAT STIME     TIME COMMAND
root          71       2      0     0 ?        S    Dec17 00:00:00 [irq/29-pciehp]
root          72       2      0     0 ?        S    Dec17 00:00:00 [irq/30-pciehp]
root          73       2      0     0 ?        S    Dec17 00:00:00 [irq/31-pciehp]
root          74       2      0     0 ?        S    Dec17 00:00:00 [irq/32-pciehp]
root          75       2      0     0 ?        S    Dec17 00:00:00 [irq/33-pciehp]
root          76       2      0     0 ?        S    Dec17 00:00:00 [irq/34-pciehp]
root          77       2      0     0 ?        S    Dec17 00:00:00 [irq/35-pciehp]
root          78       2      0     0 ?        S    Dec17 00:00:00 [irq/36-pciehp]
root          79       2      0     0 ?        S    Dec17 00:00:00 [irq/37-pciehp]
root          80       2      0     0 ?        S    Dec17 00:00:00 [irq/38-pciehp]
root          81       2      0     0 ?        S    Dec17 00:00:00 [irq/39-pciehp]
root          82       2      0     0 ?        S    Dec17 00:00:00 [irq/40-pciehp]
root          83       2      0     0 ?        S    Dec17 00:00:00 [irq/41-pciehp]
root          84       2      0     0 ?        S    Dec17 00:00:00 [irq/42-pciehp]
root          85       2      0     0 ?        S    Dec17 00:00:00 [irq/43-pciehp]
root          86       2      0     0 ?        S    Dec17 00:00:00 [irq/44-pciehp]
root          87       2      0     0 ?        S    Dec17 00:00:00 [irq/45-pciehp]
root          88       2      0     0 ?        S    Dec17 00:00:00 [irq/46-pciehp]
root          89       2      0     0 ?        S    Dec17 00:00:00 [irq/47-pciehp]
root          90       2      0     0 ?        S    Dec17 00:00:00 [irq/48-pciehp]
root          91       2      0     0 ?        S    Dec17 00:00:00 [irq/49-pciehp]
root          92       2      0     0 ?        S    Dec17 00:00:00 [irq/50-pciehp]
root          93       2      0     0 ?        S    Dec17 00:00:00 [irq/51-pciehp]
root          94       2      0     0 ?        S    Dec17 00:00:00 [irq/52-pciehp]
root          95       2      0     0 ?        S    Dec17 00:00:00 [irq/53-pciehp]
root          96       2      0     0 ?        S    Dec17 00:00:00 [irq/54-pciehp]
root          97       2      0     0 ?        S    Dec17 00:00:00 [irq/55-pciehp]
root          98       2      0     0 ?        I<   Dec17 00:00:00 [acpi_thermal_pm]
root          99       2      0     0 ?        S    Dec17 00:00:00 [xenbus_probe]
root         100       2      0     0 ?        I<   Dec17 00:00:00 [mld]
root         101       2      0     0 ?        I<   Dec17 00:00:00 [kworker/1:1H-kblockd]
root         102       2      0     0 ?        I<   Dec17 00:00:00 [ipv6_addrconf]
root         107       2      0     0 ?        I<   Dec17 00:00:00 [kstrp]
root         112       2      0     0 ?        I<   Dec17 00:00:00 [zswap-shrink]
root         113       2      0     0 ?        I<   Dec17 00:00:00 [kworker/u257:0-hci0]
root         182       2      0     0 ?        I<   Dec17 00:00:00 [kworker/0:1H-kblockd]
root         183       2      0     0 ?        I<   Dec17 00:00:00 [kworker/3:1H-kblockd]
root         186       2      0     0 ?        I<   Dec17 00:00:00 [ata_sff]
root         187       2      0     0 ?        I<   Dec17 00:00:00 [mpt_poll_0]
root         188       2      0     0 ?        S    Dec17 00:00:00 [scsi_eh_0]
root         189       2      0     0 ?        I<   Dec17 00:00:00 [mpt/0]
root         190       2      0     0 ?        I<   Dec17 00:00:00 [scsi_tmf_0]
root         191       2      0     0 ?        S    Dec17 00:00:00 [scsi_eh_1]
root         192       2      0     0 ?        I<   Dec17 00:00:00 [scsi_tmf_1]
root         193       2      0     0 ?        I<   Dec17 00:00:00 [cryptd]
root         211       2      0     0 ?        S    Dec17 00:00:21 [irq/16-vmwgfx]
root         218       2      0     0 ?        S    Dec17 00:00:00 [card0-crtc0]
root         219       2      0     0 ?        S    Dec17 00:00:00 [card0-crtc1]
root         221       2      0     0 ?        S    Dec17 00:00:00 [card0-crtc2]
root         222       2      0     0 ?        S    Dec17 00:00:00 [card0-crtc3]
root         223       2      0     0 ?        S    Dec17 00:00:00 [card0-crtc4]
root         225       2      0     0 ?        S    Dec17 00:00:00 [card0-crtc5]
root         226       2      0     0 ?        S    Dec17 00:00:00 [card0-crtc6]
root         227       2      0     0 ?        S    Dec17 00:00:00 [card0-crtc7]
root         268       2      0     0 ?        S    Dec17 00:00:00 [scsi_eh_2]
root         269       2      0     0 ?        I<   Dec17 00:00:00 [scsi_tmf_2]
root         290       2      0     0 ?        I<   Dec17 00:00:00 [xfsalloc]
root         291       2      0     0 ?        I<   Dec17 00:00:00 [xfs_mru_cache]
root         294       2      0     0 ?        I<   Dec17 00:00:00 [md]
root         303       2      0     0 ?        I<   Dec17 00:00:00 [raid5wq]
root         344       2      0     0 ?        I<   Dec17 00:00:00 [btrfs-worker]
root         345       2      0     0 ?        I<   Dec17 00:00:00 [btrfs-worker-hi]
root         346       2      0     0 ?        I<   Dec17 00:00:00 [btrfs-delalloc]
root         347       2      0     0 ?        I<   Dec17 00:00:00 [btrfs-flush_del]
root         348       2      0     0 ?        I<   Dec17 00:00:00 [btrfs-cache]
root         349       2      0     0 ?        I<   Dec17 00:00:00 [btrfs-fixup]
root         350       2      0     0 ?        I<   Dec17 00:00:00 [btrfs-endio]
root         351       2      0     0 ?        I<   Dec17 00:00:00 [btrfs-endio-met]
root         352       2      0     0 ?        I<   Dec17 00:00:00 [btrfs-endio-rai]
root         353       2      0     0 ?        I<   Dec17 00:00:00 [btrfs-rmw]
root         354       2      0     0 ?        I<   Dec17 00:00:00 [btrfs-endio-wri]
root         355       2      0     0 ?        I<   Dec17 00:00:00 [btrfs-compresse]
root         356       2      0     0 ?        I<   Dec17 00:00:00 [btrfs-freespace]
root         357       2      0     0 ?        I<   Dec17 00:00:00 [btrfs-delayed-m]
root         358       2      0     0 ?        I<   Dec17 00:00:00 [btrfs-qgroup-re]
root         359       2      0     0 ?        S    Dec17 00:00:00 [btrfs-cleaner]
root         360       2      0     0 ?        S    Dec17 00:00:08 [btrfs-transaction]
root         421       1 130148 33304 ?        Ss   Dec17 00:00:03 /lib/systemd/systemd-journald
root         439       1 227092  2340 ?        Ssl  Dec17 00:00:00 vmware-vmblock-fuse /run/vmblock-fuse -o rw,subtype=vmware-vmblock,default_permissions,allow_other,dev,suid
root         443       1  25920  8212 ?        Ss   Dec17 00:00:00 /lib/systemd/systemd-udevd
root         719       2      0     0 ?        I<   Dec17 00:00:00 [kworker/u257:1-hci0]
root         794       1   8184  6556 ?        Ss   Dec17 00:00:05 /usr/sbin/haveged --Foreground --verbose=1
root         795       1 236632  7364 ?        Ssl  Dec17 00:00:04 /usr/libexec/accounts-daemon
root         799       1  12840  6232 ?        Ss   Dec17 00:00:00 /usr/libexec/bluetooth/bluetoothd
root         800       1   6752  2824 ?        Ss   Dec17 00:00:00 /usr/sbin/cron -f
message+     802       1  10988  6220 ?        Ss   Dec17 00:00:01 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root         804       1 255104 17428 ?        Ssl  Dec17 00:00:17 /usr/sbin/NetworkManager --no-daemon
root         808       1 236760  9268 ?        Ssl  Dec17 00:00:00 /usr/libexec/polkitd --no-debug
root         809       1   3760   864 ?        Ss   Dec17 00:00:00 /usr/sbin/rngd -f
root         815       1  15832  7776 ?        Ss   Dec17 00:00:00 /lib/systemd/systemd-logind
root         817       1 393780 12436 ?        Ssl  Dec17 00:00:00 /usr/libexec/udisks2/udisksd
root         818       1  48084 10548 ?        Ss   Dec17 00:00:00 /usr/bin/VGAuthService
root         821       1  15184  5708 ?        Ss   Dec17 00:00:01 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
root         832       1 316960 12176 ?        Ssl  Dec17 00:00:00 /usr/sbin/ModemManager
root         833       1 310696  8212 ?        Ssl  Dec17 00:03:15 /usr/bin/vmtoolsd
root         921       1 307896  9152 ?        SLsl Dec17 00:00:00 /usr/sbin/lightdm
root         933     921 1425476 175796 tty7   Ssl+ Dec17 00:16:05 /usr/lib/xorg/Xorg :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch
root         934       1   5772   640 tty1     Ss+  Dec17 00:00:00 /sbin/agetty -o -p -- \u --noclear - linux
root         935       2      0     0 ?        I<   Dec17 00:00:00 [cfg80211]
rtkit       1038       1 153872  3152 ?        SNsl Dec17 00:00:02 /usr/libexec/rtkit-daemon
root        1092       1 247168  8140 ?        Ssl  Dec17 00:00:00 /usr/libexec/upowerd
root        1115     921 165020  8884 ?        Sl   Dec17 00:00:00 lightdm --session-child 12 21
johnspi+    1120       1  17684 10388 ?        Ss   Dec17 00:00:00 /lib/systemd/systemd --user
johnspi+    1121    1120 103916  3292 ?        S    Dec17 00:00:00 (sd-pam)
johnspi+    1135    1120 136648 17652 ?        S<sl Dec17 00:00:00 /usr/bin/pipewire
johnspi+    1136    1120 389484 31920 ?        S<sl Dec17 00:00:00 /usr/bin/wireplumber
johnspi+    1137    1120  29208  9856 ?        S<sl Dec17 00:00:00 /usr/bin/pipewire-pulse
johnspi+    1139    1120  10136  5712 ?        Ss   Dec17 00:00:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
johnspi+    1141       1 237608  7468 ?        Sl   Dec17 00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
johnspi+    1148    1115 271356 24480 ?        Ssl  Dec17 00:00:00 x-session-manager
johnspi+    1182    1120 156480  5868 ?        Sl   Dec17 00:00:00 /usr/libexec/dconf-service
johnspi+    1205    1148   6028   468 ?        Ss   Dec17 00:00:01 /usr/bin/ssh-agent x-session-manager
johnspi+    1206    1120 310748 10148 ?        Ssl  Dec17 00:00:00 /usr/libexec/at-spi-bus-launcher
johnspi+    1212    1206   9724  4964 ?        S    Dec17 00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3 --address=unix:path=/run/user/1000/at-spi/bus_0
johnspi+    1245    1148 679592 45304 ?        Sl   Dec17 00:00:09 /usr/bin/mate-settings-daemon
johnspi+    1248    1120 166004  6796 ?        Sl   Dec17 00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
johnspi+    1254    1148 467304 49072 ?        Sl   Dec17 00:02:42 marco
johnspi+    1255    1120 237164  7988 ?        Ssl  Dec17 00:00:00 /usr/libexec/gvfsd
johnspi+    1264    1148 699224 58740 ?        Sl   Dec17 00:00:14 mate-panel
johnspi+    1276    1148 963044 77400 ?        Sl   Dec17 00:00:07 /usr/bin/caja
johnspi+    1277    1120 349716 12348 ?        Ssl  Dec17 00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
johnspi+    1278    1148 344224 28952 ?        Sl   Dec17 00:00:03 mate-power-manager
johnspi+    1281    1148 316972 44448 ?        Sl   Dec17 00:00:00 mate-volume-control-status-icon
johnspi+    1296       1 336284 50076 ?        Sl   Dec17 00:03:11 /usr/bin/vmtoolsd -n vmusr --blockFd 3
johnspi+    1298    1148 272236 26884 ?        Sl   Dec17 00:00:06 mate-screensaver
johnspi+    1301    1148 408032 51488 ?        Sl   Dec17 00:00:03 nm-applet
johnspi+    1304    1148 190188 15712 ?        Sl   Dec17 00:00:00 /usr/lib/x86_64-linux-gnu/polkit-mate/polkit-mate-authentication-agent-1
johnspi+    1306    1148 519064 53632 ?        Sl   Dec17 00:00:00 /usr/bin/python3 /usr/bin/blueman-applet
johnspi+    1307    1120 233108  6308 ?        Ssl  Dec17 00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
johnspi+    1321    1120 235472  7280 ?        Ssl  Dec17 00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
johnspi+    1325    1148 234220  4948 ?        Sl   Dec17 00:00:00 /usr/libexec/geoclue-2.0/demos/agent
johnspi+    1329    1120 233320  6088 ?        Ssl  Dec17 00:00:00 /usr/libexec/gvfs-goa-volume-monitor
johnspi+    1341    1120 622424 16796 ?        Ssl  Dec17 00:00:05 /usr/libexec/xdg-desktop-portal
johnspi+    1350    1120 311816  7760 ?        Ssl  Dec17 00:00:08 /usr/libexec/gvfs-afc-volume-monitor
johnspi+    1352    1120 533768  9364 ?        Ssl  Dec17 00:00:00 /usr/libexec/xdg-document-portal
johnspi+    1359    1120 236360  5192 ?        Ssl  Dec17 00:00:00 /usr/libexec/xdg-permission-store
root        1365    1352   2468  1728 ?        Ss   Dec17 00:00:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
johnspi+    1376    1120 521960 22356 ?        Ssl  Dec17 00:00:00 /usr/libexec/xdg-desktop-portal-gtk
johnspi+    1381    1120 346352 31644 ?        Sl   Dec17 00:14:11 /usr/lib/mate-applets/mate-multiload-applet
johnspi+    1382    1120 390404 49072 ?        Sl   Dec17 00:00:01 /usr/lib/mate-panel/wnck-applet
johnspi+    1383    1120 398320 39068 ?        Sl   Dec17 00:00:06 /usr/lib/mate-panel/clock-applet
johnspi+    1384    1120 347620 32588 ?        Sl   Dec17 00:00:01 /usr/lib/mate-panel/notification-area-applet
johnspi+    1417    1255 311276  9988 ?        Sl   Dec17 00:00:00 /usr/libexec/gvfsd-trash --spawner :1.23 /org/gtk/gvfs/exec_spaw/0
johnspi+    1430       1 411788 62124 ?        Sl   Dec17 00:00:00 /usr/bin/python3 /usr/bin/blueman-tray
johnspi+    1435    1120  45528  6892 ?        Ss   Dec17 00:00:00 /usr/libexec/bluetooth/obexd
johnspi+    1443    1120 159692  6452 ?        Ssl  Dec17 00:00:00 /usr/libexec/gvfsd-metadata
root      469911       2      0     0 ?        I    20:41 00:00:00 [kworker/0:1-events]
root      470060       2      0     0 ?        I    21:32 00:00:03 [kworker/1:1-events]
root      470115       2      0     0 ?        I    21:37 00:00:00 [kworker/u256:0-events_unbound]
root      470159       2      0     0 ?        I    21:57 00:00:00 [kworker/u256:4-events_unbound]
root      470181       2      0     0 ?        I    22:06 00:00:00 [kworker/3:2-events]
root      470265       2      0     0 ?        I    22:17 00:00:00 [kworker/3:0-rcu_par_gp]
root      470268       2      0     0 ?        I    22:18 00:00:00 [kworker/2:0-ata_sff]
root      470275       2      0     0 ?        I    22:22 00:00:00 [kworker/1:0-events]
root      470276       2      0     0 ?        I    22:23 00:00:00 [kworker/2:2-events_freezable_power_]
root      470286       2      0     0 ?        I    22:24 00:00:00 [kworker/u256:1-btrfs-endio-write]
johnspi+  470328    1264 355552 72380 ?        Sl   22:25 00:00:00 /usr/bin/python3 /usr/bin/onboard
root      470417       2      0     0 ?        I    22:26 00:00:00 [kworker/0:0-events]
root      470471       2      0     0 ?        I    22:26 00:00:00 [kworker/3:1-rcu_par_gp]
root      470479       2      0     0 ?        I    22:27 00:00:00 [kworker/u256:3-events_unbound]
root      470480       2      0     0 ?        I    22:28 00:00:00 [kworker/2:1-ata_sff]
systemd+  470599       1  16612  8212 ?        Ss   22:30 00:00:00 /lib/systemd/systemd-networkd
root      470616       2      0     0 ?        I    22:30 00:00:00 [kworker/3:3-events]
root      470765       2      0     0 ?        I    22:31 00:00:00 [kworker/1:2-events]
johnspi+  470775       1 481080 45024 ?        Sl   22:33 00:00:00 mate-terminal
johnspi+  470781  470775  10088  6108 pts/0    Ss   22:33 00:00:00 bash
root      470796  470781  12268  5480 pts/0    S+   22:33 00:00:00 sudo bash Cat-Scale.sh
root      470797  470796   7484  3924 pts/0    S+   22:33 00:00:00 bash Cat-Scale.sh
root      470832  470797   9884  3452 pts/0    R+   22:33 00:00:00 ps axwwSo user,pid,ppid,vsz,rss,tname,stat,stime,time,args
