[2025-05-30 13:35:33.2001251 | INF] KAPE directory: D:\kape\KAPE
[2025-05-30 13:35:44.5454362 | INF]   Deferring C:\ProgramData\Microsoft\Windows Defender\Support\MpWppTracing-20250530-131044-00000003-ffffffff.bin due to IOException...
[2025-05-30 13:35:48.2339894 | INF]   Deferring C:\Users\Ernes\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2025-05-30.1920.14072.5.aodl due to IOException...
[2025-05-30 13:35:48.2694537 | INF]   Deferring C:\Users\Ernes\AppData\Local\Microsoft\OneDrive\logs\Personal\telemetryCache.otc due to IOException...
[2025-05-30 13:35:48.2714058 | INF]   Deferring C:\Users\Ernes\AppData\Local\Microsoft\OneDrive\logs\Personal\telemetryCache.otc-shm due to IOException...
[2025-05-30 13:35:48.2723857 | INF]   Deferring C:\Users\Ernes\AppData\Local\Microsoft\OneDrive\logs\Personal\telemetryCache.otc-wal due to IOException...
[2025-05-30 13:35:48.6423615 | INF]   Deferring C:\Users\Ernes\AppData\Local\Microsoft\OneDrive\settings\CxP.db due to IOException...
[2025-05-30 13:35:48.6443100 | INF]   Deferring C:\Users\Ernes\AppData\Local\Microsoft\OneDrive\settings\CxP.db-shm due to IOException...
[2025-05-30 13:35:48.6452863 | INF]   Deferring C:\Users\Ernes\AppData\Local\Microsoft\OneDrive\settings\CxP.db-wal due to IOException...
[2025-05-30 13:35:48.6462632 | INF]   Deferring C:\Users\Ernes\AppData\Local\Microsoft\OneDrive\settings\FileSyncFSCache.db due to IOException...
[2025-05-30 13:35:48.6472394 | INF]   Deferring C:\Users\Ernes\AppData\Local\Microsoft\OneDrive\settings\FileSyncFSCache.db-shm due to IOException...
[2025-05-30 13:35:48.6472394 | INF]   Deferring C:\Users\Ernes\AppData\Local\Microsoft\OneDrive\settings\FileSyncFSCache.db-wal due to IOException...
[2025-05-30 13:35:48.9103048 | INF]   Deferring C:\Users\Ernes\AppData\Local\Microsoft\OneDrive\settings\Personal\downloads3.txt due to IOException...
[2025-05-30 13:35:48.9917077 | INF]   Deferring C:\Users\Ernes\AppData\Local\Microsoft\OneDrive\settings\Personal\KFM.db due to IOException...
[2025-05-30 13:35:49.0701378 | INF]   Deferring C:\Users\Ernes\AppData\Local\Microsoft\OneDrive\settings\Personal\OCSI.db due to IOException...
[2025-05-30 13:35:49.0720887 | INF]   Deferring C:\Users\Ernes\AppData\Local\Microsoft\OneDrive\settings\Personal\OCSI.db-shm due to IOException...
[2025-05-30 13:35:49.0730656 | INF]   Deferring C:\Users\Ernes\AppData\Local\Microsoft\OneDrive\settings\Personal\OCSI.db-wal due to IOException...
[2025-05-30 13:35:49.1072077 | INF]   Deferring C:\Users\Ernes\AppData\Local\Microsoft\OneDrive\settings\Personal\SafeDelete.db due to IOException...
[2025-05-30 13:35:49.1108622 | INF]   Deferring C:\Users\Ernes\AppData\Local\Microsoft\OneDrive\settings\Personal\SafeDelete.db-shm due to IOException...
[2025-05-30 13:35:49.1118442 | INF]   Deferring C:\Users\Ernes\AppData\Local\Microsoft\OneDrive\settings\Personal\SafeDelete.db-wal due to IOException...
[2025-05-30 13:35:49.1128260 | INF]   Deferring C:\Users\Ernes\AppData\Local\Microsoft\OneDrive\settings\Personal\SettingsDatabase.db due to IOException...
[2025-05-30 13:35:49.1157557 | INF]   Deferring C:\Users\Ernes\AppData\Local\Microsoft\OneDrive\settings\Personal\SettingsDatabase.db-shm due to IOException...
[2025-05-30 13:35:49.1212277 | INF]   Deferring C:\Users\Ernes\AppData\Local\Microsoft\OneDrive\settings\Personal\SettingsDatabase.db-wal due to IOException...
[2025-05-30 13:35:49.1938222 | INF]   Deferring C:\Users\Ernes\AppData\Local\Microsoft\OneDrive\settings\Personal\SyncEngineDatabase.db due to IOException...
[2025-05-30 13:35:49.1957741 | INF]   Deferring C:\Users\Ernes\AppData\Local\Microsoft\OneDrive\settings\Personal\SyncEngineDatabase.db-shm due to IOException...
[2025-05-30 13:35:49.1967508 | INF]   Deferring C:\Users\Ernes\AppData\Local\Microsoft\OneDrive\settings\Personal\SyncEngineDatabase.db-wal due to IOException...
[2025-05-30 13:35:49.2117497 | INF]   Deferring C:\Windows\System32\winevt\logs\HardwareEvents.evtx due to IOException...
[2025-05-30 13:35:49.2129063 | INF]   Deferring C:\Windows\System32\winevt\logs\HP Analytics.evtx due to IOException...
[2025-05-30 13:35:49.2156936 | INF]   Deferring C:\Windows\System32\winevt\logs\HP Sure Start.evtx due to IOException...
[2025-05-30 13:35:49.2166684 | INF]   Deferring C:\Windows\System32\winevt\logs\HPNotifications Application.evtx due to IOException...
[2025-05-30 13:35:49.4045715 | INF]   Deferring C:\Windows\System32\winevt\logs\IntelAudioServiceLog.evtx due to IOException...
[2025-05-30 13:35:49.4063449 | INF]   Deferring C:\Windows\System32\winevt\logs\Internet Explorer.evtx due to IOException...
[2025-05-30 13:35:49.4073224 | INF]   Deferring C:\Windows\System32\winevt\logs\Key Management Service.evtx due to IOException...
[2025-05-30 13:35:49.4092732 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Client-Licensing-Platform%4Admin.evtx due to IOException...
[2025-05-30 13:35:49.4092732 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-AAD%4Operational.evtx due to IOException...
[2025-05-30 13:35:49.4102771 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-AppID%4Operational.evtx due to IOException...
[2025-05-30 13:35:49.4122349 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-Application-Experience%4Program-Compatibility-Assistant.evtx due to IOException...
[2025-05-30 13:35:49.4132122 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-Application-Experience%4Program-Compatibility-Troubleshooter.evtx due to IOException...
[2025-05-30 13:35:49.4171190 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-Application-Experience%4Program-Inventory.evtx due to IOException...
[2025-05-30 13:35:49.4180950 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-Application-Experience%4Program-Telemetry.evtx due to IOException...
[2025-05-30 13:35:49.4190702 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-Application-Experience%4Steps-Recorder.evtx due to IOException...
[2025-05-30 13:35:49.4205742 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-AppLocker%4EXE and DLL.evtx due to IOException...
[2025-05-30 13:35:49.4215571 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-AppLocker%4MSI and Script.evtx due to IOException...
[2025-05-30 13:35:49.4244883 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-AppLocker%4Packaged app-Deployment.evtx due to IOException...
[2025-05-30 13:35:49.4252897 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-AppLocker%4Packaged app-Execution.evtx due to IOException...
[2025-05-30 13:35:49.4277010 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-AppModel-Runtime%4Admin.evtx due to IOException...
[2025-05-30 13:35:49.4292908 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-AppReadiness%4Admin.evtx due to IOException...
[2025-05-30 13:35:49.4292908 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-AppReadiness%4Operational.evtx due to IOException...
[2025-05-30 13:35:49.4307973 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-AppXDeployment%4Operational.evtx due to IOException...
[2025-05-30 13:35:49.6470018 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-AppXDeploymentServer%4Operational.evtx due to IOException...
[2025-05-30 13:35:49.6495813 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-AppXDeploymentServer%4Restricted.evtx due to IOException...
[2025-05-30 13:35:49.6520710 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-AppxPackaging%4Operational.evtx due to IOException...
[2025-05-30 13:35:53.1431947 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-Bits-Client%4Operational.evtx due to IOException...
[2025-05-30 13:35:53.1452391 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-CloudStore%4Initialization.evtx due to IOException...
[2025-05-30 13:35:53.1462164 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-CloudStore%4Operational.evtx due to IOException...
[2025-05-30 13:35:53.1471921 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-CodeIntegrity%4Operational.evtx due to IOException...
[2025-05-30 13:35:53.1491454 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-Containers-BindFlt%4Operational.evtx due to IOException...
[2025-05-30 13:35:53.1501495 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-Containers-Wcifs%4Operational.evtx due to IOException...
[2025-05-30 13:35:53.1501495 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-Crypto-DPAPI%4BackUpKeySvc.evtx due to IOException...
[2025-05-30 13:35:53.1823537 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-Crypto-DPAPI%4Operational.evtx due to IOException...
[2025-05-30 13:35:53.1843031 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-Crypto-NCrypt%4CertInUse.evtx due to IOException...
[2025-05-30 13:35:53.1852813 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-Crypto-NCrypt%4Operational.evtx due to IOException...
[2025-05-30 13:35:57.1143573 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-DeviceSetupManager%4Admin.evtx due to IOException...
[2025-05-30 13:35:57.1161927 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-DeviceSetupManager%4Operational.evtx due to IOException...
[2025-05-30 13:35:57.1171745 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-Dhcp-Client%4Admin.evtx due to IOException...
[2025-05-30 13:35:57.1181440 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-Dhcpv6-Client%4Admin.evtx due to IOException...
[2025-05-30 13:35:57.1210738 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-Diagnosis-DPS%4Operational.evtx due to IOException...
[2025-05-30 13:35:57.1220513 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-Diagnosis-PCW%4Operational.evtx due to IOException...
[2025-05-30 13:35:57.1230318 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-Diagnosis-Scheduled%4Operational.evtx due to IOException...
[2025-05-30 13:35:57.1255279 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-Diagnostics-Performance%4Operational.evtx due to IOException...
[2025-05-30 13:35:57.1284564 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-EnhancedStorage-EhStorClass%4Operational.evtx due to IOException...
[2025-05-30 13:35:57.1715358 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-FileHistory-Core%4WHC.evtx due to IOException...
[2025-05-30 13:35:57.1744666 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-GroupPolicy%4Operational.evtx due to IOException...
[2025-05-30 13:35:57.1744666 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-HelloForBusiness%4Operational.evtx due to IOException...
[2025-05-30 13:35:57.1759716 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-HotspotAuth%4Operational.evtx due to IOException...
[2025-05-30 13:35:57.1769527 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-Hyper-V-Hypervisor-Admin.evtx due to IOException...
[2025-05-30 13:35:57.1786083 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-Hyper-V-Hypervisor-Operational.evtx due to IOException...
[2025-05-30 13:35:57.1795760 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-Kernel-Boot%4Operational.evtx due to IOException...
[2025-05-30 13:35:57.1827251 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-Kernel-Cache%4Operational.evtx due to IOException...
[2025-05-30 13:35:57.1836854 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-Kernel-Dump%4Operational.evtx due to IOException...
[2025-05-30 13:35:57.1846674 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-Kernel-EventTracing%4Admin.evtx due to IOException...
[2025-05-30 13:35:57.1861729 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-Kernel-PnP%4Configuration.evtx due to IOException...
[2025-05-30 13:35:57.1871558 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-Kernel-PnP%4Device Management.evtx due to IOException...
[2025-05-30 13:35:57.1881319 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-Kernel-PnP%4Driver Watchdog.evtx due to IOException...
[2025-05-30 13:35:57.1891066 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-Kernel-Power%4Thermal-Operational.evtx due to IOException...
[2025-05-30 13:35:57.1930404 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-Kernel-ShimEngine%4Operational.evtx due to IOException...
[2025-05-30 13:35:57.1949692 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-Kernel-StoreMgr%4Operational.evtx due to IOException...
[2025-05-30 13:35:57.1949692 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-Kernel-WHEA%4Errors.evtx due to IOException...
[2025-05-30 13:35:57.1964752 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-Kernel-WHEA%4Operational.evtx due to IOException...
[2025-05-30 13:35:57.1974753 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-Known Folders API Service.evtx due to IOException...
[2025-05-30 13:35:57.2378563 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-LiveId%4Operational.evtx due to IOException...
[2025-05-30 13:35:57.4227367 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-NCSI%4Operational.evtx due to IOException...
[2025-05-30 13:35:57.4252196 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-NetworkProfile%4Operational.evtx due to IOException...
[2025-05-30 13:35:57.4262029 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-NlaSvc%4Operational.evtx due to IOException...
[2025-05-30 13:35:57.4271790 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-Ntfs%4Operational.evtx due to IOException...
[2025-05-30 13:35:57.4281543 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-Ntfs%4WHC.evtx due to IOException...
[2025-05-30 13:35:57.4291315 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-Partition%4Diagnostic.evtx due to IOException...
[2025-05-30 13:35:57.4301069 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-Perflib%4Operational.evtx due to IOException...
[2025-05-30 13:35:57.4330406 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-PowerShell%4Admin.evtx due to IOException...
[2025-05-30 13:35:57.4340140 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-PowerShell%4Operational.evtx due to IOException...
[2025-05-30 13:35:57.4787499 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-Privacy-Auditing%4Operational.evtx due to IOException...
[2025-05-30 13:35:57.4816768 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-Program-Compatibility-Assistant%4CompatAfterUpgrade.evtx due to IOException...
[2025-05-30 13:35:57.5837209 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-PushNotification-Platform%4Admin.evtx due to IOException...
[2025-05-30 13:35:57.5866204 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-PushNotification-Platform%4Operational.evtx due to IOException...
[2025-05-30 13:35:57.5875949 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-ReadyBoost%4Operational.evtx due to IOException...
[2025-05-30 13:35:57.5885707 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-RemoteAssistance%4Admin.evtx due to IOException...
[2025-05-30 13:35:57.5895466 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-RemoteAssistance%4Operational.evtx due to IOException...
[2025-05-30 13:35:57.5895466 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-Resource-Exhaustion-Detector%4Operational.evtx due to IOException...
[2025-05-30 13:35:57.5920320 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-Resource-Exhaustion-Resolver%4Operational.evtx due to IOException...
[2025-05-30 13:35:57.5949618 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-RestartManager%4Operational.evtx due to IOException...
[2025-05-30 13:35:59.1639725 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-Security-Mitigations%4KernelMode.evtx due to IOException...
[2025-05-30 13:35:59.2396257 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-Shell-ConnectedAccountState%4ActionCenter.evtx due to IOException...
[2025-05-30 13:35:59.2426299 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-Shell-Core%4ActionCenter.evtx due to IOException...
[2025-05-30 13:35:59.2435833 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-Shell-Core%4AppDefaults.evtx due to IOException...
[2025-05-30 13:35:59.2445591 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-Shell-Core%4LogonTasksChannel.evtx due to IOException...
[2025-05-30 13:35:59.2455359 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-Shell-Core%4Operational.evtx due to IOException...
[2025-05-30 13:35:59.2901410 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-SmbClient%4Audit.evtx due to IOException...
[2025-05-30 13:35:59.2926314 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-SmbClient%4Connectivity.evtx due to IOException...
[2025-05-30 13:35:59.2936138 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-SMBClient%4Operational.evtx due to IOException...
[2025-05-30 13:35:59.2945884 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-SmbClient%4Security.evtx due to IOException...
[2025-05-30 13:35:59.2955646 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-SMBServer%4Audit.evtx due to IOException...
[2025-05-30 13:35:59.2965435 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-SMBServer%4Connectivity.evtx due to IOException...
[2025-05-30 13:35:59.2984969 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-SMBServer%4Operational.evtx due to IOException...
[2025-05-30 13:35:59.3004509 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-SMBServer%4Security.evtx due to IOException...
[2025-05-30 13:35:59.3014253 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-StateRepository%4Operational.evtx due to IOException...
[2025-05-30 13:35:59.3029310 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-StateRepository%4Restricted.evtx due to IOException...
[2025-05-30 13:35:59.3039136 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-Storage-ClassPnP%4Operational.evtx due to IOException...
[2025-05-30 13:35:59.3048894 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-Storage-Storport%4Health.evtx due to IOException...
[2025-05-30 13:35:59.3058668 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-Storage-Storport%4Operational.evtx due to IOException...
[2025-05-30 13:35:59.3078180 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-StorageSpaces-Driver%4Diagnostic.evtx due to IOException...
[2025-05-30 13:35:59.3117879 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-StorageSpaces-Driver%4Operational.evtx due to IOException...
[2025-05-30 13:35:59.3132951 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-StorageSpaces-ManagementAgent%4WHC.evtx due to IOException...
[2025-05-30 13:35:59.3152543 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-Store%4Operational.evtx due to IOException...
[2025-05-30 13:35:59.3162313 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-Storsvc%4Diagnostic.evtx due to IOException...
[2025-05-30 13:35:59.3162313 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-TaskScheduler%4Maintenance.evtx due to IOException...
[2025-05-30 13:35:59.3191623 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-TerminalServices-LocalSessionManager%4Admin.evtx due to IOException...
[2025-05-30 13:35:59.3211124 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-TerminalServices-LocalSessionManager%4Operational.evtx due to IOException...
[2025-05-30 13:35:59.3682505 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-TWinUI%4Operational.evtx due to IOException...
[2025-05-30 13:35:59.3702041 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-UAC%4Operational.evtx due to IOException...
[2025-05-30 13:35:59.3711825 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-UniversalTelemetryClient%4Operational.evtx due to IOException...
[2025-05-30 13:35:59.3731339 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-User Device Registration%4Admin.evtx due to IOException...
[2025-05-30 13:35:59.3731339 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-User Profile Service%4Operational.evtx due to IOException...
[2025-05-30 13:35:59.3741092 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-UserPnp%4ActionCenter.evtx due to IOException...
[2025-05-30 13:35:59.3756141 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-UserPnp%4DeviceInstall.evtx due to IOException...
[2025-05-30 13:35:59.3765960 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-VolumeSnapshot-Driver%4Operational.evtx due to IOException...
[2025-05-30 13:35:59.3814802 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-Wcmsvc%4Operational.evtx due to IOException...
[2025-05-30 13:35:59.3824686 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-WebAuthN%4Operational.evtx due to IOException...
[2025-05-30 13:35:59.4285542 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-WER-PayloadHealth%4Operational.evtx due to IOException...
[2025-05-30 13:35:59.4323805 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-Windows Firewall With Advanced Security%4ConnectionSecurity.evtx due to IOException...
[2025-05-30 13:35:59.4333553 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-Windows Firewall With Advanced Security%4Firewall.evtx due to IOException...
[2025-05-30 13:35:59.4343342 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-Windows Firewall With Advanced Security%4FirewallDiagnostics.evtx due to IOException...
[2025-05-30 13:35:59.4362870 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-WindowsBackup%4ActionCenter.evtx due to IOException...
[2025-05-30 13:35:59.4362870 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-WindowsUpdateClient%4Operational.evtx due to IOException...
[2025-05-30 13:35:59.4418347 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-WinINet-Config%4ProxyConfigChanged.evtx due to IOException...
[2025-05-30 13:35:59.4437994 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-Winlogon%4Operational.evtx due to IOException...
[2025-05-30 13:35:59.4447762 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-WinRM%4Operational.evtx due to IOException...
[2025-05-30 13:35:59.4457525 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-WLAN-AutoConfig%4Operational.evtx due to IOException...
[2025-05-30 13:35:59.4469264 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-WMI-Activity%4Operational.evtx due to IOException...
[2025-05-30 13:35:59.4489135 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-WorkFolders%4WHC.evtx due to IOException...
[2025-05-30 13:35:59.4508853 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-WPD-ClassInstaller%4Operational.evtx due to IOException...
[2025-05-30 13:35:59.4518450 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-WindowsPhone-Connectivity-WiFiConnSvc-Channel.evtx due to IOException...
[2025-05-30 13:35:59.4533223 | INF]   Deferring C:\Windows\System32\winevt\logs\OAlerts.evtx due to IOException...
[2025-05-30 13:35:59.4533223 | INF]   Deferring C:\Windows\System32\winevt\logs\OneApp_IGCC.evtx due to IOException...
[2025-05-30 13:35:59.4582116 | INF]   Deferring C:\Windows\System32\winevt\logs\Security.evtx due to IOException...
[2025-05-30 13:35:59.4650532 | INF]   Deferring C:\Windows\System32\winevt\logs\System.evtx due to IOException...
